------------- Session: S01 --------------
Emotion: Neutral2 Count: 21
Emotion: Neutral1 Count: 27
Emotion: Shame1 Count: 6
Emotion: Pride1 Count: 7
Emotion: Distress2 Count: 1
Emotion: Pride2 Count: 6
Emotion: Distress1 Count: 1
------------- Session: S02 --------------
Emotion: Neutral2 Count: 21
Emotion: Neutral1 Count: 27
Emotion: Shame1 Count: 6
Emotion: Pride1 Count: 7
Emotion: Distress2 Count: 1
Emotion: Pride2 Count: 6
Emotion: Distress1 Count: 1
------------- Session: S03 --------------
Emotion: Neutral1 Count: 24
Emotion: Neutral2 Count: 18
Emotion: Pride2 Count: 8
Emotion: Shame1 Count: 4
Emotion: Shame2 Count: 3
Emotion: Pride1 Count: 4
Emotion: Joy2 Count: 1
Emotion: Distress1 Count: 2
------------- Session: S04 --------------
Emotion: Neutral2 Count: 22
Emotion: Neutral1 Count: 23
Emotion: Shame2 Count: 2
Emotion: Admiration1 Count: 5
Emotion: Reproach2 Count: 2
Emotion: Pride1 Count: 2
Emotion: Shame1 Count: 6
Emotion: Admiration2 Count: 1
Emotion: Joy1 Count: 1
Emotion: Reproach1 Count: 1
Emotion: Pride2 Count: 2
Emotion: Distress2 Count: 1
------------- Session: S05 --------------
Emotion: Neutral2 Count: 21
Emotion: Neutral1 Count: 25
Emotion: Pride1 Count: 3
Emotion: Pride2 Count: 9
Emotion: Shame1 Count: 4
Emotion: Joy2 Count: 3
Emotion: Shame2 Count: 2
------------- Session: S06 --------------
Emotion: Neutral1 Count: 18
Emotion: Neutral2 Count: 10
Emotion: Shame1 Count: 2
Emotion: Reproach2 Count: 1
Emotion: Joy2 Count: 1
Emotion: Admiration2 Count: 1
Emotion: Admiration1 Count: 1
Emotion: Pride1 Count: 2
Emotion: Distress2 Count: 1
------------- Session: S07 --------------
Emotion: Neutral1 Count: 22
Emotion: Neutral2 Count: 22
Emotion: Pride1 Count: 7
Emotion: Shame2 Count: 2
Emotion: Shame1 Count: 4
Emotion: Pride2 Count: 8
Emotion: Distress1 Count: 2
------------- Session: S08 --------------
Emotion: Neutral1 Count: 16
Emotion: Neutral2 Count: 27
Emotion: Reproach1 Count: 2
Emotion: Shame1 Count: 6
Emotion: Reproach2 Count: 2
Emotion: Admiration2 Count: 1
Emotion: Joy2 Count: 1
Emotion: Pride2 Count: 1
Emotion: Distress1 Count: 1
Emotion: Admiration1 Count: 1
Emotion: Pride1 Count: 1
------------- Session: S09 --------------
Emotion: Neutral1 Count: 27
Emotion: Neutral2 Count: 18
Emotion: Shame1 Count: 3
Emotion: Shame2 Count: 6
Emotion: Pride1 Count: 7
Emotion: Distress2 Count: 2
Emotion: Pride2 Count: 2
Emotion: Joy2 Count: 1
------------- Session: S10 --------------
Emotion: Neutral1 Count: 29
Emotion: Neutral2 Count: 20
Emotion: Shame1 Count: 2
Emotion: Shame2 Count: 2
Emotion: Admiration1 Count: 2
Emotion: Reproach2 Count: 2
Emotion: Pride1 Count: 5
Emotion: Joy1 Count: 1
Emotion: Admiration2 Count: 1
Emotion: Reproach1 Count: 3
Emotion: Distress1 Count: 1
Emotion: Joy2 Count: 1
Emotion: Pride2 Count: 1
------------- Session: S11 --------------
Emotion: Neutral1 Count: 25
Emotion: Neutral2 Count: 18
Emotion: Pride1 Count: 9
Emotion: Pride2 Count: 4
Emotion: Shame1 Count: 2
Emotion: Joy2 Count: 1
Emotion: Shame2 Count: 4
Emotion: Joy1 Count: 1
------------- Session: S12 --------------
Emotion: Neutral2 Count: 21
Emotion: Neutral1 Count: 26
Emotion: Pride1 Count: 8
Emotion: Shame2 Count: 3
Emotion: Distress2 Count: 2
Emotion: Pride2 Count: 4
Emotion: Joy1 Count: 1
Emotion: Shame1 Count: 1
------------- Session: S13 --------------
Emotion: Neutral1 Count: 29
Emotion: Neutral2 Count: 16
Emotion: Shame2 Count: 1
Emotion: Pride1 Count: 5
Emotion: Reproach2 Count: 1
Emotion: Shame1 Count: 6
