Mode: 21 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
2	5	7	10	13	15	17	20	21	23	6	12	16	19	24	26	27	29	37	39	0	0	44	3345	516	244	3621	86	0	2	1	0	0	
9	11	13	17	19	22	27	31	34	35	0	2	7	8	23	24	25	28	37	39	0	1	76	446	20328	738	215	413	18	0	0	7	0	
6	7	11	13	16	22	23	27	28	34	1	8	9	10	17	20	21	31	36	37	3	2	29	286	126	134	6931	0	16	2	1	1	0	
6	10	18	20	21	23	25	32	33	35	1	7	9	13	17	19	27	30	34	37	2	3	58	121	147	0	5872	217	12	2	1	0	0	
2	6	18	20	22	24	30	32	33	34	5	11	12	15	16	17	19	23	31	38	0	0	42	781	212	0	18151	71	0	3	1	0	0	
0	1	3	4	14	21	24	26	27	38	2	6	8	15	25	29	31	32	34	36	3	1	42	410	363	419	283	0	101	5	0	1	0	
4	6	9	15	21	27	33	34	35	38	10	11	12	13	20	23	24	28	31	39	1	2	64	215	5735	0	342	3	106	4	1	1	0	
6	10	16	23	24	25	32	34	36	37	2	3	4	7	8	19	20	21	26	31	3	3	72	128	0	796	292	145	0	4	1	1	0	
1	4	10	12	13	28	29	31	36	38	2	3	5	7	18	19	20	24	32	37	3	0	64	466	0	22528	0	305	0	3	2	3	0	
0	3	4	16	20	22	25	29	32	37	2	9	10	12	15	19	23	31	33	38	1	1	88	66	0	123694	0	0	0	18	2	1	0	
0	1	2	7	8	10	22	27	37	39	4	12	13	18	26	28	32	35	36	38	0	2	89	214	241	0	3589	456	0	43	3	0	0	
6	11	16	17	18	23	27	28	29	37	2	3	5	7	12	13	15	26	30	39	0	3	80	635	15356	11208	0	983	46	0	1	1	0	
3	8	10	14	17	28	33	35	37	39	0	12	18	20	21	23	25	30	31	32	0	0	18	1106	118	3469	503	31	0	3	2	1	0	
2	12	16	18	20	25	30	33	37	39	5	6	7	11	23	24	26	27	31	34	2	1	68	0	1352	715	581	8	121	3	0	0	0	
1	7	8	11	13	15	18	29	30	33	4	10	14	16	17	20	24	26	31	39	1	2	76	745	511	583	391	0	59	5	2	1	0	
1	4	5	7	11	24	26	27	31	38	2	9	10	17	18	19	20	25	30	39	1	3	93	0	670	921	642	47	6	2	0	1	0	
0	2	15	16	18	20	25	31	32	39	6	13	22	30	33	34	35	36	37	38	1	0	73	472	0	594	0	1073	0	3	2	0	0	
7	13	20	24	27	28	29	33	35	38	14	16	22	23	25	30	34	36	37	39	0	1	0	1236	297	0	1489	6818	128	19	2	1	0	
0	2	7	9	16	18	21	29	37	38	3	6	14	20	22	23	24	27	32	34	2	2	107	173	0	10991	0	852	13	0	3	1	0	
0	7	10	11	14	28	29	33	35	36	13	16	17	19	20	22	24	27	38	39	3	3	78	78	0	59765	209	73	0	17	1	1	0	
5	6	10	12	18	19	23	29	31	37	0	1	2	11	14	15	20	27	30	35	1	0	97	680	162	0	742	463	63	14	0	2	0	
3	4	6	9	11	18	19	20	30	34	1	5	7	12	15	16	21	24	26	39	3	1	22	120	447	5168	269	196	0	4	0	1	0	
2	6	7	12	21	23	25	26	30	34	5	8	22	24	27	29	31	32	33	37	1	2	15	281	344	97	83	0	0	3	1	1	0	
11	17	18	22	23	31	35	36	37	38	4	5	9	10	19	21	25	26	29	32	1	3	40	646	17813	0	1104	1162	357	39	3	1	0	
2	7	12	15	16	21	22	23	25	34	10	14	17	20	24	27	30	32	38	39	1	0	40	1036	1448	0	1115	0	45	8	2	1	0	
3	4	7	14	20	21	23	25	28	30	0	2	11	26	29	32	34	35	36	38	3	1	72	0	2836	0	45246	313	0	10	2	1	0	
1	2	10	14	19	22	25	29	33	35	0	4	11	12	15	16	24	26	38	39	3	2	51	189	120	1760	0	0	0	5	2	0	0	
2	6	16	17	23	25	28	29	35	38	1	3	7	8	9	13	18	20	26	30	1	3	55	247	3590	265	0	1307	0	23	0	1	0	
9	13	16	19	22	23	24	29	33	34	0	6	11	14	20	25	28	36	37	39	3	0	61	792	0	341	68	595	65	2	1	2	0	
2	5	9	13	20	21	29	30	32	37	0	12	14	17	23	31	33	35	38	39	1	1	75	196	14559	0	469	4	15	0	2	1	0	
2	8	9	18	22	24	30	33	36	38	1	4	6	10	11	13	14	34	35	39	0	2	95	0	43228	99	113	0	6	3	0	1	0	
11	16	18	24	27	30	32	34	36	38	0	3	5	7	9	14	17	22	26	33	3	3	72	852	737	1175	1275	0	8	0	1	2	0	
11	16	19	20	21	25	28	29	32	33	4	9	10	14	15	23	24	34	35	38	0	0	36	1732	6902	0	0	697	18	5	2	0	0	
2	6	7	15	19	21	24	27	29	36	1	4	5	12	16	20	22	26	30	31	2	1	70	0	24145	149	667	400	17	3	2	1	0	
1	5	7	11	22	25	27	31	34	37	4	6	8	13	18	19	21	23	24	39	0	2	79	152	159	0	792	203	0	6	0	1	0	
7	11	16	18	21	25	28	33	35	39	1	3	4	8	14	19	20	23	26	32	1	3	42	225	183	0	11088	256	14	4	2	1	0	
