Mode: 21 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
3	5	7	8	12	18	23	26	28	35	0	4	10	13	15	16	21	34	37	39	1	0	56	996	47764	56	0	0	177	0	307	5	0	
0	5	11	13	16	18	24	30	34	36	1	3	4	6	9	21	28	29	33	38	0	1	72	315	145	163	391	0	6	1	1	0	0	
5	8	9	17	30	32	33	36	37	39	1	4	14	18	19	20	24	29	31	38	1	2	67	0	27840	3962	1665	182	10	3	0	0	0	
2	4	7	9	17	19	29	30	34	38	0	6	8	11	13	23	26	36	37	39	0	3	120	42	0	26254	43313	45	3	0	2	0	0	
6	8	9	10	11	16	20	21	30	36	0	4	5	14	15	19	23	26	27	28	3	0	40	470	1571	0	0	0	2	0	1	0	0	
1	3	12	17	18	24	28	34	35	39	5	6	14	16	20	23	25	26	29	30	0	1	49	69	0	66	124	0	12	1	0	0	0	
1	4	5	8	9	18	21	27	30	34	2	14	23	24	25	29	31	36	38	39	0	2	103	98	0	463	8307	2	2	0	0	0	0	
3	4	7	11	20	22	28	31	32	37	6	10	12	17	19	25	26	30	33	36	3	3	66	122	2353	0	414	184	15	3	1	0	0	
5	7	8	13	17	20	23	28	29	37	0	1	3	14	15	19	27	30	33	34	2	0	91	513	192	7233	403	0	17	2	0	0	0	
8	9	10	11	23	25	27	29	30	35	1	2	14	17	21	22	28	31	32	36	2	1	80	104	0	6542	0	96	0	2	1	0	0	
1	8	15	16	19	22	24	27	34	39	9	13	14	17	25	28	31	32	36	37	2	2	59	245	102	714	18472	0	23	0	1	0	0	
0	4	5	16	17	25	28	30	35	36	6	8	10	15	19	23	26	27	32	34	2	3	36	50	0	13834	77	53	6	0	1	0	0	
1	10	15	17	21	22	25	26	30	31	0	3	9	18	19	24	27	33	36	39	0	0	42	285	207	98	51	68	0	0	0	1	0	
0	1	4	9	11	12	16	19	24	33	5	8	14	18	21	29	30	31	34	35	2	1	57	180	59	0	237	769	4	0	1	0	0	
6	9	14	15	16	18	19	29	30	38	1	2	3	8	13	23	28	33	34	35	3	2	95	397	9366	251	0	4	5	0	0	0	0	
4	10	13	17	25	27	30	32	37	38	1	2	6	8	14	19	23	28	33	35	3	3	63	975	179	82	0	4	0	2	1	0	0	
11	14	20	21	23	31	32	33	34	36	2	3	5	7	8	13	15	30	35	38	1	0	16	396	57	205	140	0	27	4	0	0	0	
4	12	14	19	21	25	27	30	37	38	2	3	7	9	16	20	23	26	32	39	1	1	72	64	1928	60	43	0	0	2	1	0	0	
4	7	8	11	20	21	30	31	34	39	1	2	5	16	18	23	25	35	36	37	1	2	15	86	1945	0	177	75	0	1	0	0	0	
1	4	11	12	16	18	22	28	29	36	6	7	9	10	17	19	25	34	35	39	1	3	108	118	0	98	0	4	22	0	1	0	0	
0	7	14	17	19	20	24	25	29	37	5	6	12	16	18	30	31	33	35	36	0	0	51	307	8840	85	163	0	123	16	1	0	0	
0	1	8	13	17	25	31	37	38	39	3	6	15	20	23	24	27	28	34	35	0	1	21	98	2513	58	62	0	78	8	0	0	0	
0	5	10	11	15	17	28	31	33	36	1	3	4	7	8	23	24	30	34	37	1	2	20	53	0	0	30161	477	19	11	0	0	0	
3	5	12	15	16	19	22	25	33	34	0	1	2	4	9	18	20	21	27	30	0	3	53	183	90	0	0	0	9	2	0	0	0	
3	5	7	8	10	25	28	33	37	39	0	1	6	9	16	17	20	23	24	34	1	0	44	511	0	0	361	274	17	6	1	0	0	
3	6	11	19	21	31	34	35	37	38	7	9	12	14	16	18	24	25	30	33	2	1	46	202	0	0	1356	0	41	4	1	0	0	
1	4	12	18	27	29	33	35	37	38	2	6	7	10	15	20	26	28	31	39	3	2	90	73	0	193	1866	80	0	0	0	1	0	
8	13	15	16	22	23	26	30	31	32	2	3	4	7	17	21	24	36	37	38	2	3	64	0	5169	59	33	0	22	0	0	0	0	
7	15	17	22	23	27	29	31	38	39	0	13	14	16	18	20	26	30	32	36	1	0	74	419	4860	185	226	0	4	0	1	0	0	
1	10	14	19	24	27	28	31	37	39	4	6	8	9	15	18	23	25	33	36	3	1	56	107	3704	0	537	149	15	2	0	0	0	
3	4	9	15	20	21	25	33	37	39	0	1	2	10	17	18	23	24	30	31	1	2	71	168	1744	39	0	170	5	0	2	0	0	
0	3	8	12	20	22	25	27	30	31	1	2	7	13	14	18	26	28	35	39	3	3	28	0	0	0	322	492	0	5	1	1	0	
4	6	11	14	16	22	33	37	38	39	1	13	20	23	24	27	29	30	31	36	3	0	100	424	104	0	0	220	16	2	1	0	0	
0	2	4	12	13	16	20	21	26	32	1	6	11	14	22	27	28	31	38	39	0	1	5	77	77	31	98	70	0	3	0	0	0	
6	11	20	23	24	25	30	35	37	39	0	5	9	10	12	16	18	26	27	29	1	2	78	0	185	0	5282	280	18	2	1	0	0	
