Mode: 22 #Games: 100
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
5	6	8	11	12	15	26	35	37	38	7	9	14	21	23	27	29	31	33	36	1	2	40	0	909	7620	579	0	294	0	55	13	0	
6	10	11	12	15	19	24	30	32	36	0	4	20	21	22	23	28	34	35	37	0	3	18	1120	138	0	20883	1570	7272	49	12	43	0	
6	8	12	17	19	20	21	33	34	37	2	3	4	13	16	18	25	29	35	38	3	0	88	1861	23219	0	156	142	19	0	0	0	0	
4	6	12	13	15	23	25	30	34	38	0	3	5	9	17	19	21	28	32	33	1	1	69	87	0	397	44	0	18	10	0	6	0	
3	7	13	18	21	22	28	31	35	37	0	1	5	10	20	24	25	30	32	39	3	2	44	91	0	987	0	18	9	0	10	4	0	
1	2	3	9	12	22	23	27	30	33	0	13	18	20	21	24	32	34	37	39	0	3	37	0	827	0	0	238	0	0	0	1	0	
0	3	4	10	11	14	17	32	34	37	2	7	16	20	23	27	28	29	30	38	2	0	78	2238	1835	718	779	489	0	12	0	3	0	
5	6	8	11	12	15	26	35	37	38	7	9	14	21	23	27	29	31	33	36	3	0	88	1244	2220	338	64	0	34	13	6	9	0	
5	13	15	18	22	26	28	29	30	38	3	4	6	7	10	19	20	25	34	39	1	1	99	449	195	0	576	1168	328	0	20	21	0	
8	16	17	18	21	27	31	33	35	37	1	2	5	6	7	11	12	20	26	32	2	1	56	0	66067	3492	0	876	13	3	1	0	0	
2	5	6	11	12	13	14	31	37	38	4	7	8	15	16	18	21	27	29	30	0	2	70	0	349	439	0	192	33	0	0	0	0	
3	6	10	14	15	16	23	26	31	36	0	4	5	9	12	13	21	33	37	39	1	2	74	150	0	737	0	965	0	16	15	9	0	
2	12	21	22	23	26	31	33	35	36	0	4	6	13	16	27	32	34	37	38	3	3	57	763	748	447	0	355	24	7	6	6	0	
5	6	9	10	14	20	22	25	33	35	3	11	13	17	21	23	27	28	29	34	1	3	52	191	785	0	2097	29	286	0	120	0	0	
0	4	19	25	26	28	33	36	37	38	2	11	14	16	20	24	27	30	32	39	3	0	114	4622	62	0	20177	8	29	13	0	1	0	
4	11	15	18	24	28	29	31	36	39	1	9	10	12	25	27	30	33	35	37	3	1	111	0	1036	10931	0	13	8	4	1	0	0	
4	5	8	10	19	21	23	30	31	33	3	6	11	14	17	20	25	29	32	35	0	2	58	229	198	135	780	0	129	0	0	0	0	
2	4	8	10	17	18	22	31	34	35	9	15	20	23	26	27	28	32	33	38	2	0	87	1274	248	0	3626	429	17	0	11	6	0	
4	5	7	8	12	13	16	17	31	39	2	3	6	14	15	22	26	34	36	38	1	1	61	1034	3102	719	18259	7	70	2	1	0	0	
0	7	9	13	15	27	30	32	34	38	2	4	5	6	11	16	18	31	35	36	3	3	69	494	0	878	591	0	204	21	4	4	0	
1	9	11	14	15	26	27	29	34	39	0	3	4	8	12	16	20	22	23	24	0	0	98	2240	0	88	0	2369	28	11	0	7	0	
4	8	13	16	18	22	23	28	31	32	1	2	5	10	14	21	25	30	36	39	1	1	40	307	0	484	8727	0	11	0	2	3	0	
1	9	14	15	17	26	28	33	36	39	0	2	18	19	23	27	30	32	35	37	2	2	89	249	121	0	8110	0	21	18	3	0	0	
2	3	4	9	13	23	26	29	30	33	1	11	12	16	17	18	22	32	34	38	1	2	69	471	0	0	1929	1822	146	7	1	0	0	
2	3	8	10	11	13	20	26	33	35	1	4	5	14	19	28	30	31	32	39	2	3	15	238	121	124	193	117	0	0	1	1	0	
1	3	4	9	14	16	17	28	29	33	0	2	10	12	15	22	23	27	30	38	2	3	65	405	0	36808	0	812	17	2	1	0	0	
1	3	4	12	17	22	24	29	31	38	0	5	11	13	18	23	27	35	36	37	1	0	36	1600	275	125	0	1014	20	5	2	3	0	
0	1	6	8	11	12	16	19	29	35	4	14	17	18	22	23	30	32	33	37	1	1	85	257	12591	0	18779	0	0	2	1	1	0	
7	16	17	21	23	27	29	31	37	39	0	2	5	10	13	22	25	26	28	36	2	2	92	47	0	26592	52211	496	0	2279	1	0	0	
0	8	10	12	16	17	28	29	33	35	2	4	7	9	18	22	23	24	27	39	3	0	64	964	0	134796	442	284	0	3	0	1	0	
14	15	20	21	24	25	27	33	38	39	0	1	4	7	9	12	17	18	23	31	0	1	79	161	0	1749	567	839	166	12	3	3	0	
0	9	11	12	16	18	23	27	30	39	3	4	5	7	17	19	25	28	31	38	2	3	70	211	150	0	0	11	11	985	0	7	0	
1	6	7	10	13	18	22	26	33	38	5	11	12	14	21	25	27	28	34	36	2	0	40	1196	98	421	0	606	4	0	9	0	0	
8	10	14	21	26	27	29	34	37	39	5	7	11	13	17	22	24	25	33	38	1	2	55	223	0	42618	26407	181	124	38	8	9	0	
1	5	11	17	19	21	22	24	25	35	0	4	9	10	20	23	30	31	32	34	0	3	52	0	898	19802	0	141	10	5	0	0	0	
4	6	11	20	22	23	33	34	37	38	0	14	15	16	21	24	25	26	27	28	0	1	37	345	14597	2742	0	2614	369	16	2	0	0	
8	9	10	13	18	22	24	26	33	38	0	2	3	11	15	16	27	28	30	36	3	0	51	444	239	164	135	0	0	4	0	1	0	
8	9	10	16	19	20	24	30	31	33	7	13	15	17	23	26	29	32	35	36	3	1	77	86	0	584	10814	0	143	6	2	1	0	
2	4	9	14	18	22	25	27	35	38	0	1	3	5	6	12	20	30	31	39	2	2	52	432	2253	93	0	1047	0	38	5	3	0	
1	2	8	12	20	21	22	28	29	35	3	5	6	17	18	30	34	37	38	39	1	3	82	0	608	504	932	39	0	0	47	0	0	
3	7	8	12	22	23	25	34	36	39	1	9	11	13	14	16	26	30	31	33	3	2	62	0	912	36350	157	0	826	0	308	0	0	
9	11	16	18	19	24	26	28	29	39	5	6	7	21	25	27	32	34	35	37	2	0	116	834	61777	764	8419	452	0	27	6	5	0	
2	7	10	13	14	15	19	23	27	29	0	1	3	4	6	12	34	35	36	39	2	1	11	1059	17182	235	1589	401	0	3	1	0	0	
5	6	10	11	13	15	18	32	36	38	4	9	17	19	21	24	25	26	30	31	3	3	69	1930	408	5639	2552	2333	693	24	8	15	0	
2	10	11	13	18	23	29	35	38	39	4	6	7	15	16	21	27	31	36	37	0	2	50	457	3762	0	11045	772	127	106	0	46	0	
5	11	12	14	17	18	20	22	32	33	1	2	8	9	16	21	25	36	37	39	0	3	58	681	0	752	770	162	0	0	0	0	0	
2	3	5	15	18	21	25	26	29	35	0	4	6	7	17	20	23	24	34	38	0	0	67	835	3207	0	408	0	80	11	1	0	0	
7	14	19	20	22	27	29	32	35	39	0	1	8	13	21	23	24	28	36	37	0	0	46	1002	33096	5093	1122	299	0	14	1	4	0	
1	5	9	11	16	18	23	24	33	35	4	6	7	14	20	26	27	37	38	39	3	1	52	125	3189	427	0	372	80	0	0	0	0	
5	6	12	14	16	20	22	24	27	33	3	7	11	13	19	21	23	25	28	31	2	1	63	0	1170	0	2565	817	5503	18	6	0	0	
1	4	6	12	18	21	25	37	38	39	0	5	8	17	19	27	29	32	34	35	0	2	109	246	0	25	0	5	0	1	0	1	0	
4	7	10	13	16	23	27	28	36	37	1	8	9	12	17	19	29	33	34	39	0	3	84	255	0	22025	0	553	2	2	1	0	0	
4	13	14	21	22	25	28	32	36	37	1	5	6	10	11	15	16	20	27	39	2	2	84	0	1041	11420	0	0	28	2	217	0	0	
8	10	21	30	31	33	34	35	38	39	4	6	9	11	16	18	23	24	32	36	0	0	62	1622	18798	0	443	822	160	3	3	3	0	
2	4	12	16	18	21	27	30	32	34	3	6	8	9	11	15	17	31	35	38	2	1	27	303	405	0	223	0	161	0	1	0	0	
0	2	14	19	20	26	28	34	38	39	1	7	8	10	11	18	21	23	30	36	2	2	91	61	0	277	282	0	1886	3	1	0	0	
5	6	8	12	14	16	24	27	28	33	2	7	10	13	17	20	23	32	36	38	0	3	36	132	222	0	232	153	9	0	1	1	0	
1	2	7	12	13	16	22	25	32	36	0	4	6	10	11	20	21	26	27	29	0	3	54	51	0	0	163	0	50	26	2361	0	0	
1	3	9	10	16	18	21	30	31	35	4	6	8	19	20	23	25	33	38	39	0	0	94	1725	417	343	0	1135	147	0	0	0	0	
4	7	8	9	10	13	15	18	34	36	2	12	20	21	22	23	24	29	32	33	1	0	69	1498	8113	9286	0	254	52	7	34	17	0	
1	2	9	10	16	20	27	28	29	33	3	5	6	13	17	19	21	22	35	36	1	1	75	0	1577	11795	512	2279	60	1	6	3	0	
2	3	6	9	10	19	21	22	23	33	1	12	13	14	16	20	27	30	37	39	0	2	81	1082	7933	132	0	5	0	13	0	0	0	
0	2	4	10	22	24	28	33	34	37	3	9	11	13	14	16	27	30	35	36	1	3	41	147	126	272	0	1037	6	3	1	0	0	
1	6	7	10	14	17	27	32	33	39	0	2	3	8	12	18	19	21	31	38	1	1	56	0	369	61361	160	0	24	3	1	2	0	
0	13	14	16	17	21	24	26	31	35	1	4	7	9	19	23	25	29	32	38	3	2	70	258	0	752	270	0	9	8	2	4	0	
1	3	5	6	10	12	19	20	34	38	2	4	8	9	11	17	21	22	31	35	2	3	46	679	0	54900	894	2524	74	4	3	0	0	
3	4	6	15	17	25	27	28	31	39	7	9	10	16	18	19	26	32	33	37	1	0	87	363	2021	194	2100	261	0	7	4	0	0	
3	6	8	11	13	17	21	27	32	34	0	2	4	24	26	28	30	33	36	39	0	1	50	600	9908	2627	705	0	1439	0	0	0	0	
1	6	10	11	17	28	31	33	35	38	4	13	15	16	24	26	29	30	32	37	1	2	79	197	759	296	520	0	133	7	2	0	0	
0	6	7	8	16	23	29	30	31	36	1	9	14	15	18	22	27	33	38	39	2	0	61	1230	9136	0	1234	99	0	15	984	0	0	
1	4	10	12	14	19	20	21	33	36	3	7	11	18	24	27	28	30	34	39	3	1	82	0	0	343	10290	0	56	3	1	0	0	
6	10	11	17	21	24	25	36	37	39	3	5	7	12	13	19	20	23	31	34	0	3	56	0	27945	54310	436	1607	16	0	2	1	0	
6	11	14	19	23	29	35	36	38	39	5	7	10	13	16	17	20	21	27	28	0	2	39	260	169	0	14701	899	37	0	34	12	0	
6	9	17	19	21	22	28	31	35	37	3	8	10	12	13	14	15	20	27	33	3	3	42	159	1265	502	0	1317	119	7	1	0	0	
2	5	6	13	20	24	28	29	35	37	1	8	9	15	17	27	31	32	36	38	0	0	96	1105	0	0	4330	367	70	14	4	0	0	
