p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	7_0	7_1	7_2	7_3	At_02	suits_0	suits_1	suits_2 suit_3	first_0	first_1	first_2	first_3	fp_02
37	41	15	27	13	11	6	0	2	4	3	1	1	1	0	2	2	2	0	0	0	4	4	4	4	1	0	0	0	53
26	20	55	19	3	16	11	0	2	4	2	2	1	0	2	1	1	1	2	0	1	4	4	4	4	0	0	1	0	72
24	45	27	24	11	12	0	7	3	2	2	3	2	2	0	0	0	1	2	1	1	4	4	4	4	0	0	1	0	64
59	24	29	8	16	14	0	0	4	3	2	1	3	1	0	0	2	0	2	0	0	4	4	4	4	1	0	0	0	93
41	22	16	41	11	0	6	13	2	2	3	3	1	2	0	1	2	0	0	2	1	4	4	4	4	1	0	0	0	47
44	27	17	32	14	0	0	16	3	1	2	4	1	1	0	2	2	1	1	0	0	4	4	4	4	0	0	0	1	44
47	37	28	8	24	2	4	0	5	1	2	2	2	1	1	0	2	2	0	0	1	3	4	4	3	0	1	0	0	120
22	34	26	38	4	0	13	13	3	0	5	2	0	1	1	2	1	1	1	1	1	4	3	4	4	0	0	0	1	80
38	51	31	0	0	28	2	0	0	5	2	3	1	2	1	0	1	2	1	0	0	3	3	4	4	0	1	0	0	64
56	16	17	31	15	3	2	10	2	1	3	4	2	0	1	1	2	0	0	2	1	4	4	4	3	0	1	0	0	69
