p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	7_0	7_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
12	59	24	25	0	14	6	10	1	3	2	4	0	4	0	0	0	1	1	2	0	4	4	4	4	0	0	1	0	2
39	25	26	30	13	13	4	0	3	3	2	2	0	1	1	2	3	1	0	0	0	4	4	4	4	0	0	1	0	67
43	22	27	28	4	5	11	10	1	4	3	2	1	1	1	1	2	0	1	1	1	4	4	4	4	1	0	0	0	58
43	47	5	25	23	3	0	4	4	1	3	2	1	2	0	1	2	2	0	0	1	4	4	4	4	1	0	0	0	39
42	25	8	45	0	0	2	28	1	2	2	5	2	1	0	1	1	1	0	2	0	4	3	4	3	1	0	0	0	0
50	18	30	22	12	15	3	0	2	6	1	1	2	1	1	0	2	0	0	2	0	4	3	4	4	0	0	0	1	28
36	18	35	31	5	0	11	14	3	1	2	4	2	0	2	0	0	1	1	2	1	4	4	4	4	0	1	0	0	98
20	27	39	34	2	10	15	3	1	3	4	2	0	1	2	1	1	1	1	1	1	4	4	4	4	0	1	0	0	81
29	27	24	40	17	13	0	0	4	4	2	0	0	2	1	1	1	0	1	2	0	4	4	4	3	0	0	0	1	37
31	32	41	16	3	0	27	0	2	1	5	2	1	0	2	1	1	2	1	0	1	4	4	4	4	0	1	0	0	105
