Mode: 4 #Games: 10
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	7_0	7_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
33	34	14	39	10	0	2	18	1	0	3	6	0	2	0	2	2	0	1	1	0	4	3	4	4	1	0	0	0	0
30	27	31	32	4	11	12	3	3	3	3	1	1	1	1	1	1	1	1	1	0	4	4	4	4	0	0	1	0	41
15	55	26	24	0	28	2	0	0	4	4	2	0	2	0	2	0	2	2	0	0	3	4	4	4	0	0	1	0	38
16	49	29	26	13	4	13	0	5	1	3	1	0	1	2	1	1	3	0	0	1	3	4	4	3	1	0	0	0	73
18	33	36	33	14	6	10	0	5	3	2	0	1	1	1	1	0	1	2	1	1	4	3	4	3	1	0	0	0	65
48	4	37	31	0	2	17	11	1	2	3	4	2	0	0	2	2	0	2	0	0	4	4	4	4	0	0	0	1	76
7	30	48	35	2	3	15	10	3	2	3	2	0	0	3	1	0	2	0	2	1	4	4	4	4	0	1	0	0	76
8	42	20	50	5	4	0	21	5	2	1	2	0	1	0	3	0	2	1	1	0	4	4	4	4	0	0	0	1	16
47	21	20	32	16	3	0	11	5	1	1	3	1	1	1	1	3	0	0	1	0	3	3	4	3	0	1	0	0	78
21	20	51	28	11	14	0	5	2	6	0	2	1	0	3	0	0	1	1	2	1	4	4	3	4	0	1	0	0	64
