Mode: 4 #Games: 1000
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	S_2	S_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
28	47	16	29	14	10	2	4	4	2	2	2	2	1	0	1	0	3	0	1	1	4	4	4	4	1	0	0	0	38
25	55	31	9	0	16	14	0	2	5	2	1	1	3	0	0	1	1	2	0	0	4	4	4	4	1	0	0	0	44
31	33	29	27	0	15	2	13	1	4	1	4	1	1	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	53
26	28	33	33	0	5	21	4	1	4	4	1	1	1	1	1	1	1	2	0	1	3	2	4	4	1	0	0	0	51
18	20	46	36	11	0	6	13	2	2	2	4	1	0	3	0	0	2	0	2	1	4	4	4	4	0	1	0	0	84
11	43	32	34	4	0	5	21	3	2	3	2	0	1	2	1	0	2	0	2	0	4	4	4	4	0	1	0	0	60
30	18	15	57	14	5	11	0	5	3	1	1	1	0	1	2	1	0	0	3	1	3	4	4	4	1	0	0	0	72
40	29	28	23	0	2	21	7	1	2	4	3	2	0	1	1	1	2	1	0	1	4	4	3	4	0	1	0	0	92
23	49	7	41	11	19	0	0	4	4	2	0	1	1	0	2	1	2	0	1	1	3	4	4	3	0	1	0	0	13
31	26	24	39	2	11	7	10	1	4	3	2	2	2	0	0	0	0	1	3	0	4	4	4	4	0	0	1	0	52
23	38	25	34	7	11	12	0	4	3	3	0	0	1	1	2	1	2	1	0	0	4	3	3	3	0	1	0	0	49
18	19	38	45	0	4	15	11	0	3	5	2	1	0	1	2	0	1	2	1	0	2	3	4	4	0	0	1	0	105
15	41	21	43	0	0	13	17	1	2	3	4	0	2	1	1	1	1	0	2	1	4	4	4	3	0	0	1	0	11
8	31	34	47	3	6	11	10	3	4	1	2	0	1	2	1	0	1	0	3	1	4	4	4	4	0	0	0	1	18
17	33	41	29	12	0	14	4	3	1	3	3	0	1	2	1	1	1	1	1	1	4	4	4	4	0	0	1	0	84
27	32	29	32	0	0	27	3	0	2	6	2	0	1	1	2	2	1	1	0	1	2	4	4	4	0	0	1	0	61
25	44	25	26	0	15	15	0	2	4	3	1	2	2	0	0	0	1	1	2	0	4	4	4	4	0	0	0	1	37
36	17	42	25	11	0	4	15	2	0	3	5	2	1	1	0	0	0	2	2	1	4	3	4	4	0	0	0	1	46
30	21	46	23	3	0	21	6	2	1	4	3	1	0	2	1	1	1	2	0	1	4	4	3	4	1	0	0	0	74
31	27	39	23	3	4	23	0	1	3	4	2	1	1	2	0	1	1	1	1	1	4	4	4	4	1	0	0	0	72
43	23	24	30	0	4	11	15	0	2	4	4	2	0	2	0	1	1	0	2	1	3	4	4	4	1	0	0	0	69
31	32	18	39	15	5	0	10	3	3	3	1	2	0	1	1	0	2	0	2	1	4	3	4	4	0	0	0	1	38
31	38	15	36	4	0	15	11	3	1	5	1	0	2	0	2	2	1	1	0	0	4	4	4	4	0	0	0	1	74
10	43	49	18	0	25	3	2	2	4	1	3	0	1	2	1	0	2	2	0	0	4	4	4	4	0	1	0	0	28
17	51	22	30	2	13	0	15	3	2	1	4	1	1	0	2	0	3	1	0	0	4	4	4	3	0	1	0	0	19
40	19	14	47	3	10	0	17	2	3	1	4	1	0	0	3	2	1	1	0	0	4	4	4	3	1	0	0	0	31
26	19	34	41	7	10	0	13	3	3	2	2	1	0	1	2	0	1	2	1	0	4	4	4	4	0	1	0	0	50
14	39	31	36	0	12	3	15	2	3	2	3	0	1	1	2	1	2	0	1	0	3	4	4	4	0	0	1	0	14
36	31	27	26	13	13	0	4	5	2	0	3	2	0	1	1	1	2	1	0	1	4	4	3	4	1	0	0	0	75
51	33	11	25	2	10	3	15	2	2	3	3	3	0	0	1	1	2	0	1	0	4	4	4	4	0	0	0	1	77
49	23	18	30	11	7	2	10	3	2	3	2	3	0	1	0	1	1	0	2	1	4	4	3	4	0	0	1	0	99
28	22	26	44	10	2	7	11	3	2	3	2	1	1	0	2	1	0	1	2	0	4	3	4	4	0	1	0	0	65
29	25	41	25	2	0	18	10	1	1	4	4	2	0	2	0	0	1	1	2	1	4	4	2	3	0	0	1	0	55
20	17	23	60	0	0	6	24	2	1	2	5	0	1	1	2	1	0	0	3	0	4	4	3	3	0	1	0	0	51
31	16	46	27	6	3	10	11	4	1	3	2	1	0	2	1	1	0	2	1	0	4	3	4	4	1	0	0	0	93
31	11	69	9	3	4	21	2	3	1	2	4	1	0	3	0	1	0	3	0	1	4	4	4	4	0	0	0	1	113
60	8	22	30	13	2	0	15	3	2	1	4	1	0	1	2	4	0	0	0	0	4	4	4	4	0	0	0	1	83
29	43	32	16	2	24	0	4	3	4	2	1	1	2	1	0	1	1	1	1	0	4	4	4	4	0	0	1	0	44
24	39	32	25	4	10	5	11	3	2	3	2	0	2	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	67
16	36	28	40	0	15	0	15	1	5	2	2	1	1	0	2	0	2	2	0	0	4	3	4	4	1	0	0	0	12
44	14	35	27	15	0	15	0	3	3	4	0	2	1	0	1	1	0	2	1	1	4	4	4	3	0	1	0	0	49
30	26	17	47	16	10	0	4	3	3	3	1	1	0	0	3	1	1	1	1	1	4	4	4	4	0	0	0	1	34
35	41	18	26	6	21	0	3	4	2	1	3	2	1	0	1	0	2	1	1	0	4	4	4	4	0	0	1	0	45
30	18	27	45	3	10	2	15	3	2	3	2	1	0	1	2	1	1	1	1	0	4	4	4	4	0	1	0	0	66
27	45	12	36	0	2	7	21	1	2	4	3	0	3	0	1	2	0	0	2	0	4	4	4	4	0	1	0	0	35
34	42	28	16	2	25	3	0	2	4	1	3	1	2	1	0	1	1	1	1	0	3	4	4	4	0	0	1	0	54
32	62	12	14	15	10	5	0	2	2	4	2	2	2	0	0	0	4	0	0	1	4	4	4	4	0	0	1	0	46
17	35	50	18	4	14	12	0	3	3	3	1	0	2	2	0	0	1	2	1	0	4	4	3	4	1	0	0	0	66
42	26	41	11	14	14	2	0	3	3	1	3	2	0	2	0	1	2	1	0	1	4	4	4	4	0	0	0	1	103
23	30	40	27	2	11	13	4	2	2	3	3	1	2	0	1	0	0	3	1	0	4	4	4	3	0	0	0	1	63
20	38	23	39	0	4	10	16	3	1	1	5	0	1	1	2	1	1	1	1	0	4	4	4	3	0	0	1	0	29
