Mode: 4 #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp
1	2	5	11	16	19	20	26	31	32	0	3	9	10	14	17	25	30	35	36	2	0	35
2	4	6	12	14	20	21	31	35	38	1	7	9	10	11	16	22	25	26	33	3	0	38
1	4	18	19	21	25	30	35	38	39	2	3	6	7	8	14	20	24	28	37	3	0	74
1	8	11	12	14	22	24	25	27	39	0	5	7	9	17	18	21	26	28	29	0	0	120
4	9	10	11	13	20	25	37	38	39	0	1	14	15	16	19	29	33	34	35	0	0	87
7	11	16	19	20	21	27	28	36	38	1	2	5	13	15	25	26	31	32	35	1	1	17
7	8	12	18	19	23	24	25	34	36	0	3	4	6	9	13	21	22	35	38	3	1	50
2	3	8	12	19	20	21	26	27	39	4	5	10	14	15	17	18	22	23	34	1	1	84
4	7	14	17	22	25	29	35	36	37	3	11	12	13	15	18	27	32	33	39	1	1	84
4	8	9	14	20	21	25	34	35	38	6	7	13	15	17	22	27	31	33	37	1	2	28
4	6	8	12	14	25	27	29	32	34	5	11	15	16	17	19	26	30	37	39	0	2	39
2	7	8	10	14	16	23	35	36	39	1	6	11	12	17	19	21	25	26	29	2	1	41
2	3	4	6	8	18	21	23	26	29	0	1	9	12	15	22	28	31	34	35	3	2	16
4	9	12	14	20	25	29	35	36	38	6	10	11	13	17	21	22	24	32	34	1	2	52
3	4	5	6	9	13	20	23	26	33	2	12	15	21	24	25	27	29	37	39	1	3	54
5	11	13	20	24	25	29	32	33	38	0	3	8	15	16	17	21	30	36	39	2	3	67
2	6	11	15	17	22	24	25	26	34	1	4	5	13	16	31	36	37	38	39	3	3	72
2	8	17	20	21	22	23	24	32	38	1	6	9	11	12	13	14	25	31	37	1	2	9
0	9	10	13	21	26	29	30	36	39	3	4	5	11	15	16	24	32	35	37	2	3	56
0	2	10	11	15	16	22	24	29	31	9	12	13	17	23	25	26	27	38	39	0	0	47
0	1	4	8	9	13	19	22	31	39	2	6	7	11	21	23	24	28	30	37	1	0	61
2	3	7	9	11	15	17	24	28	38	4	6	12	20	26	32	34	36	37	39	3	0	54
1	5	8	16	21	26	28	32	33	37	6	7	11	12	13	24	30	34	36	38	0	1	56
4	7	9	13	19	22	29	30	35	36	1	2	6	8	12	16	18	28	31	39	2	1	101
0	6	12	15	16	17	18	25	32	38	2	3	7	8	10	23	24	26	34	37	2	0	51
1	2	10	12	14	17	20	28	35	39	7	11	13	15	16	18	22	25	31	32	3	3	18
0	1	3	15	19	25	26	33	35	37	2	12	14	18	23	24	27	31	32	34	3	1	19
0	3	10	11	12	19	20	28	37	39	5	7	8	9	17	21	30	31	33	38	3	2	71
0	4	5	18	20	22	25	27	32	38	2	6	15	16	21	26	28	31	33	34	3	2	25
0	4	12	13	17	18	20	31	32	34	1	5	10	14	22	24	27	30	33	36	2	1	23
1	4	5	6	13	15	16	18	34	37	9	11	12	14	22	23	26	27	35	36	3	2	44
1	13	16	17	27	30	33	34	36	37	5	6	7	10	11	14	18	22	23	28	0	0	60
5	6	7	11	12	14	25	35	36	38	2	3	4	16	18	21	27	31	34	39	0	3	61
1	5	8	9	12	14	19	23	25	35	3	6	18	20	21	22	26	27	30	36	0	3	52
1	3	11	12	13	20	22	25	26	33	5	9	10	14	15	17	19	23	30	37	2	3	82
0	2	7	11	14	20	24	31	33	34	6	8	12	13	17	22	25	26	32	38	2	2	8
1	7	12	13	14	18	20	22	30	39	2	3	4	5	6	17	24	29	34	36	1	1	60
4	5	9	13	18	21	30	33	38	39	1	7	8	12	16	17	26	31	35	36	1	0	76
3	17	18	19	20	21	24	30	36	37	0	8	9	13	14	25	26	32	33	38	2	0	52
1	3	8	15	16	17	23	27	28	29	0	9	10	13	14	18	31	35	36	38	1	0	107
2	4	8	9	19	23	24	30	34	36	3	7	11	14	17	18	22	25	31	35	2	1	58
1	4	7	8	9	11	16	21	26	28	2	10	19	22	27	31	32	33	37	39	0	3	104
0	2	5	6	7	11	15	27	35	37	3	13	21	23	24	28	31	32	33	34	1	1	4
0	5	7	15	23	26	30	34	35	38	1	4	6	8	12	14	21	24	25	39	1	1	16
0	8	9	11	12	15	16	27	38	39	1	3	14	18	20	21	24	32	35	37	3	2	68
1	4	6	10	13	14	15	19	23	28	3	5	7	8	16	18	24	27	31	34	0	2	58
2	3	5	6	18	20	30	32	35	38	10	11	12	13	16	24	26	28	31	33	2	2	28
2	7	10	11	12	19	20	26	34	39	6	8	13	14	17	18	21	25	31	38	2	3	63
7	9	10	11	15	21	24	31	35	38	0	3	6	12	13	16	27	29	30	36	0	3	56
2	11	13	23	26	31	35	36	37	39	3	6	7	20	21	25	27	28	32	33	3	2	26
1	6	7	8	9	10	20	22	27	30	0	4	5	13	19	21	24	32	35	36	3	0	20
4	8	10	11	13	14	29	34	37	39	0	1	2	18	19	24	25	27	32	35	3	0	72
3	8	9	11	14	20	21	22	36	37	6	7	24	25	29	30	31	32	35	39	1	3	50
0	1	3	9	13	17	22	28	35	36	10	15	16	20	24	26	29	33	34	38	1	3	50
5	6	11	13	16	17	18	32	35	36	12	14	15	19	21	23	24	28	29	39	3	0	52
1	5	8	16	17	20	24	30	35	37	0	3	10	14	23	27	28	29	33	39	3	0	70
6	8	11	15	17	24	29	30	31	39	2	4	9	12	14	27	33	34	36	38	3	1	84
5	12	17	19	20	24	29	31	34	36	1	3	9	10	14	15	16	21	25	28	2	1	65
4	6	16	17	20	23	25	26	34	37	0	3	10	15	19	24	28	30	32	35	0	1	2
4	9	10	11	14	18	20	21	34	36	0	3	6	13	15	22	30	32	37	38	1	0	58
1	2	5	6	13	15	20	21	24	32	3	8	10	17	23	25	27	34	36	39	3	1	27
1	2	9	16	17	19	21	33	34	36	7	8	11	14	15	23	28	35	38	39	0	2	90
0	1	2	13	19	24	30	32	37	38	4	6	8	12	14	22	28	29	34	39	1	2	48
1	3	4	10	15	17	19	22	31	35	7	9	12	13	24	25	27	34	36	39	1	1	59
0	4	9	11	16	17	20	25	28	32	1	2	6	7	8	19	26	31	36	38	0	3	86
0	10	11	17	18	24	27	32	37	39	2	4	5	7	15	21	22	25	28	34	0	2	46
3	5	10	12	24	25	33	34	36	39	8	11	13	14	16	18	19	22	27	37	2	2	56
2	8	11	14	24	28	31	34	38	39	0	1	4	12	15	17	22	26	35	37	0	3	52
9	10	12	16	17	22	26	31	35	36	2	3	4	11	14	21	23	24	28	38	2	3	55
0	3	6	9	17	20	24	27	37	39	5	12	16	19	21	23	28	32	35	36	2	2	73
5	6	8	13	14	17	26	33	37	39	4	10	12	18	21	30	31	34	36	38	0	3	29
3	4	8	18	20	21	24	25	28	35	0	1	6	10	12	13	15	16	22	27	1	0	28
4	6	8	11	13	25	27	33	34	37	1	9	16	18	21	23	26	29	32	35	1	0	28
1	3	5	11	19	24	25	27	31	33	0	6	9	13	17	26	29	34	36	39	0	3	110
2	9	14	17	20	21	31	33	36	38	0	1	3	10	11	18	22	26	35	39	2	0	27
3	6	9	21	22	24	26	27	33	38	2	4	8	11	12	13	30	31	37	39	2	0	99
1	5	6	7	10	16	24	34	36	39	18	20	22	25	28	29	30	32	35	38	2	1	75
2	9	11	15	18	19	21	29	34	37	0	3	7	12	16	17	20	23	26	33	1	0	72
4	7	11	12	15	16	20	25	36	38	9	14	17	19	22	27	29	33	35	37	1	1	63
4	6	9	13	20	29	30	33	34	37	3	8	11	17	23	24	25	28	31	38	1	1	42
2	5	8	18	23	25	27	29	31	37	7	10	19	21	24	32	33	35	36	39	3	1	72
0	7	12	15	20	25	26	28	32	33	3	13	14	17	18	22	23	29	30	36	0	2	11
0	13	16	18	19	20	22	24	31	36	5	11	12	14	17	23	28	34	35	39	2	2	55
2	8	10	11	14	21	24	26	30	35	5	9	15	16	17	20	25	27	38	39	2	2	66
