Mode: 15 #Games: 10000 Notes: u1-1Trick-500
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
6	47	31	36	0	16	4	10	3	3	2	2	0	2	0	2	0	2	1	1	0	4	4	4	4	1	0	0	0	17
23	40	40	17	4	2	24	0	2	2	4	2	0	2	1	1	1	1	2	0	1	3	4	4	4	0	0	1	0	82
19	45	29	27	0	23	7	0	1	4	3	2	1	1	2	0	0	2	0	2	0	4	4	4	4	1	0	0	0	57
13	37	39	31	4	12	0	14	3	2	0	5	0	1	2	1	0	2	1	1	0	4	4	3	3	0	1	0	0	20
29	32	21	38	0	14	13	3	1	4	4	1	2	1	1	0	0	1	0	3	1	4	3	4	4	0	0	0	1	50
18	36	34	32	2	18	0	10	1	5	1	3	0	1	2	1	1	1	1	1	0	4	4	4	4	0	0	1	0	37
22	42	28	28	10	5	11	4	3	3	2	2	0	2	2	0	2	1	0	1	1	3	3	4	4	0	0	1	0	68
20	28	22	50	2	10	3	15	1	3	3	3	1	0	1	2	0	2	0	2	0	4	4	4	4	0	1	0	0	53
28	5	60	27	14	0	16	0	3	2	3	2	0	0	2	2	2	0	2	0	1	4	4	4	4	0	0	1	0	80
33	15	28	44	3	2	15	10	2	2	4	2	2	0	1	1	0	0	1	3	1	4	4	3	3	0	0	0	1	69
47	14	36	23	21	6	3	0	4	3	2	1	2	0	2	0	2	0	0	2	1	4	4	4	4	0	0	0	1	80
17	25	20	58	12	0	14	4	5	1	2	2	0	1	1	2	1	1	0	2	1	4	4	4	4	1	0	0	0	38
41	37	19	23	11	13	0	6	3	4	0	3	3	0	1	0	0	3	0	1	1	4	4	3	4	1	0	0	0	59
26	25	23	46	7	11	2	10	4	2	2	2	0	2	0	2	1	0	1	2	0	4	4	4	4	0	0	0	1	35
36	43	18	23	10	11	0	9	3	1	2	4	2	1	0	1	1	2	1	0	0	4	4	4	3	0	1	0	0	41
23	55	24	18	7	11	2	10	4	2	1	3	1	2	1	0	0	3	0	1	0	4	4	4	4	1	0	0	0	65
31	43	17	29	0	11	9	10	1	2	3	4	0	3	0	1	2	1	0	1	0	4	4	4	4	0	1	0	0	26
22	33	38	27	4	0	16	10	4	0	3	3	1	0	2	1	0	3	0	1	1	4	3	4	4	0	0	1	0	84
16	30	33	41	3	10	0	17	1	3	1	5	0	1	1	2	1	1	2	0	0	4	3	4	4	1	0	0	0	29
49	29	9	33	2	0	7	21	2	0	4	4	2	1	0	1	2	1	0	1	0	4	3	4	4	0	0	0	1	47
25	37	12	46	3	21	0	6	2	3	2	3	1	1	0	2	0	2	1	1	0	4	4	4	4	1	0	0	0	37
40	27	17	36	10	9	0	11	1	5	2	2	1	1	1	1	2	0	0	2	0	4	4	4	4	0	0	1	0	43
32	18	22	48	24	4	2	0	3	4	1	2	1	0	1	2	1	1	0	2	1	4	3	4	4	0	1	0	0	56
27	27	15	51	10	3	0	17	1	4	1	4	1	1	0	2	1	1	0	2	0	4	4	4	4	0	1	0	0	25
19	28	24	49	0	3	6	21	0	3	4	3	0	0	1	3	1	2	0	1	0	3	4	3	4	0	1	0	0	78
16	31	32	41	11	5	4	10	3	3	2	2	1	1	0	2	0	1	2	1	1	4	4	4	4	0	0	1	0	39
38	39	14	29	3	11	4	12	4	1	2	3	1	2	0	1	2	1	0	1	0	4	4	4	4	0	0	1	0	32
35	15	30	40	7	10	11	2	4	2	2	2	1	0	2	1	1	1	0	2	1	4	4	4	4	0	0	1	0	60
36	31	17	36	3	0	15	12	1	2	3	4	1	1	1	1	1	1	0	2	1	4	4	4	4	0	0	0	1	34
36	23	27	34	21	9	0	0	4	4	1	1	1	1	1	1	2	0	1	1	1	4	3	4	4	0	0	0	1	89
45	36	14	25	11	0	0	19	2	3	1	4	2	2	0	0	2	1	0	1	1	3	4	4	4	0	0	0	1	42
47	10	10	53	0	4	0	26	2	2	1	5	3	0	0	1	1	0	0	3	0	4	4	4	3	1	0	0	0	11
46	15	39	20	15	11	4	0	6	2	1	1	1	1	1	1	3	0	1	0	0	4	4	4	4	0	0	0	1	94
28	35	31	26	0	25	2	3	0	4	1	5	2	1	0	1	0	1	2	1	0	3	4	4	2	1	0	0	0	29
33	18	30	39	3	4	12	11	2	1	4	3	1	0	0	3	1	1	2	0	0	4	4	4	4	0	1	0	0	68
61	17	16	26	17	0	0	13	3	0	4	3	3	0	1	0	2	1	0	1	1	4	3	4	4	1	0	0	0	94
30	19	22	49	14	2	11	3	4	1	3	2	0	0	2	2	2	0	0	2	1	4	4	4	4	1	0	0	0	91
38	29	22	31	11	0	2	17	3	1	1	5	2	2	0	0	1	0	1	2	1	3	4	4	4	0	1	0	0	59
28	51	27	14	0	16	11	3	1	3	4	2	1	1	2	0	1	3	0	0	1	4	4	4	4	0	1	0	0	73
39	32	14	35	10	11	4	5	2	2	3	3	1	1	0	2	2	1	1	0	0	4	4	3	4	0	0	1	0	19
41	17	51	11	11	0	10	9	2	2	1	5	2	1	1	0	1	0	3	0	1	4	4	4	4	0	0	1	0	71
38	7	33	42	10	0	17	3	3	1	3	3	0	0	2	2	3	0	0	1	1	4	4	4	4	0	0	0	1	90
44	26	27	23	11	2	3	14	2	2	2	4	2	2	0	0	1	0	2	1	1	3	4	4	4	0	0	1	0	82
8	32	36	44	0	12	4	14	0	4	1	5	0	0	1	3	0	3	1	0	0	3	4	4	4	0	0	0	1	14
48	26	34	12	6	0	21	3	3	1	4	2	3	0	1	0	0	2	2	0	1	4	4	4	4	0	1	0	0	95
37	21	30	32	10	4	11	5	4	2	2	2	2	0	2	0	1	1	0	2	1	4	4	4	3	0	0	0	1	80
19	26	44	31	10	5	11	4	1	3	2	4	0	1	2	1	1	1	1	1	1	4	4	4	4	1	0	0	0	42
27	22	38	33	6	3	21	0	4	3	2	1	1	1	1	1	1	0	2	1	1	4	4	4	4	1	0	0	0	76
41	39	22	18	24	0	4	2	3	2	1	4	2	2	0	0	1	1	1	1	1	4	4	4	4	1	0	0	0	28
