Mode: 18 #Games: 1000 Notes: u1-2Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
37	20	26	37	6	3	0	21	3	4	1	2	1	0	1	2	2	1	0	1	0	4	4	3	3	1	0	0	0	65
28	31	34	27	4	0	23	3	2	1	3	4	1	1	2	0	1	0	1	2	1	4	4	4	4	0	0	1	0	82
41	18	30	31	13	0	14	3	3	2	3	2	2	0	0	2	1	1	2	0	1	4	4	4	4	0	0	1	0	72
36	16	29	39	0	3	4	23	2	3	2	3	2	0	1	1	1	0	1	2	0	4	4	4	4	1	0	0	0	86
32	36	26	26	2	4	0	24	1	3	2	4	1	2	0	1	1	1	1	1	0	4	4	4	4	0	1	0	0	38
26	37	21	36	3	14	11	2	2	4	1	3	0	1	1	2	2	1	0	1	1	4	4	4	3	0	0	1	0	77
41	29	21	29	23	4	3	0	5	2	2	1	2	1	0	1	1	1	1	1	1	3	4	4	4	0	0	0	1	85
23	27	32	38	10	0	2	18	2	2	1	5	0	1	1	2	2	1	1	0	0	4	4	4	4	0	1	0	0	56
26	27	44	23	13	4	3	10	2	2	1	5	1	1	1	1	1	0	2	1	1	4	4	4	4	0	0	0	1	51
41	37	16	26	3	4	11	12	2	1	4	3	2	1	1	0	1	1	0	2	1	4	4	4	4	0	0	0	1	83
20	23	33	44	3	10	11	6	3	3	1	3	1	0	1	2	0	2	1	1	1	4	4	4	4	0	0	1	0	60
34	16	40	30	18	2	10	0	4	1	3	2	2	0	0	2	0	1	3	0	1	4	4	4	4	1	0	0	0	82
26	41	31	22	3	4	21	2	3	2	3	2	1	1	1	1	1	2	1	0	1	4	4	4	4	0	0	0	1	83
33	16	30	41	0	3	14	13	1	3	4	2	1	0	0	3	1	1	2	0	0	4	4	4	4	1	0	0	0	90
27	41	38	14	13	0	10	7	5	0	2	3	1	2	1	0	1	1	2	0	1	4	3	4	4	1	0	0	0	70
42	51	5	22	3	16	0	11	1	3	3	3	2	1	0	1	1	3	0	0	0	4	4	4	4	0	1	0	0	27
18	23	33	46	10	4	16	0	3	4	3	0	0	1	2	1	1	0	0	3	1	4	4	4	3	0	1	0	0	58
30	44	30	16	6	21	3	0	3	3	2	2	1	2	0	1	1	1	2	0	0	3	4	4	4	0	1	0	0	63
28	23	40	29	10	7	2	11	2	2	3	3	0	1	1	2	2	0	2	0	0	4	3	4	4	0	0	1	0	55
34	35	38	13	6	21	0	3	3	4	0	3	1	1	2	0	1	2	1	0	0	3	3	3	4	0	0	1	0	84
21	46	5	48	4	23	3	0	4	3	2	1	0	1	0	3	1	2	0	1	0	4	4	4	4	0	0	0	1	23
55	27	17	21	13	2	4	11	3	1	2	4	2	0	1	1	2	1	0	1	0	3	4	4	4	1	0	0	0	90
16	37	43	24	4	12	14	0	3	3	3	1	0	2	2	0	0	1	1	2	1	4	4	4	4	0	1	0	0	73
45	27	29	19	0	6	14	10	1	3	3	3	1	1	2	0	3	0	0	1	1	4	4	4	4	0	0	1	0	72
26	29	30	35	3	10	13	4	3	1	4	2	1	0	2	1	1	2	0	1	1	4	4	4	3	0	0	0	1	71
4	43	43	30	0	12	14	4	1	4	4	1	0	1	2	1	0	2	1	1	1	4	4	4	4	0	0	0	1	53
33	2	28	57	0	0	3	27	0	3	3	4	1	0	1	2	1	0	1	2	0	3	4	4	4	1	0	0	0	42
23	30	29	38	15	2	0	13	3	2	0	5	1	1	1	1	0	1	1	2	1	4	4	3	4	0	0	1	0	68
35	51	13	21	21	3	6	0	4	2	3	1	1	2	0	1	1	2	0	1	1	4	4	3	4	0	0	0	1	81
38	21	49	12	12	0	14	4	2	2	4	2	1	1	2	0	2	0	2	0	1	4	4	4	4	0	1	0	0	90
24	28	45	23	2	0	24	4	1	4	4	1	2	1	1	0	0	1	2	1	1	4	4	4	4	1	0	0	0	95
29	36	17	38	5	11	4	10	2	1	4	3	0	2	0	2	1	1	1	1	0	4	4	3	4	1	0	0	0	73
38	29	28	25	23	0	7	0	3	1	2	4	2	1	1	0	1	1	0	2	1	4	4	4	4	0	1	0	0	46
36	32	18	34	16	0	4	10	3	2	3	2	2	1	1	0	0	1	0	3	1	4	4	4	4	0	0	1	0	69
30	15	33	42	2	0	3	25	2	3	2	3	1	0	2	1	1	1	0	2	0	4	4	4	4	0	1	0	0	40
25	45	37	13	2	4	21	3	3	1	3	3	0	2	2	0	2	1	1	0	1	4	4	4	4	1	0	0	0	72
36	35	28	21	2	10	7	11	2	2	3	3	0	2	1	1	3	1	0	0	0	4	4	3	4	0	0	1	0	81
19	36	26	39	13	2	0	15	3	3	2	2	0	2	0	2	1	1	1	1	0	4	4	4	4	0	1	0	0	72
67	15	16	22	15	5	10	0	2	2	3	3	3	0	0	1	3	0	1	0	1	4	4	4	3	0	0	0	1	76
18	36	34	32	7	10	11	2	4	2	2	2	0	1	2	1	0	2	1	1	1	4	4	4	4	0	0	1	0	62
17	51	26	26	0	5	11	14	1	2	3	4	1	1	2	0	0	3	0	1	1	4	4	4	4	0	0	0	1	61
34	38	24	24	0	25	5	0	2	4	2	2	1	2	0	1	1	1	1	1	0	4	4	4	3	0	0	1	0	58
43	5	28	44	21	5	0	4	3	3	2	2	2	0	1	1	1	0	1	2	1	4	4	4	3	0	0	0	1	76
38	41	25	16	0	23	3	4	0	5	2	3	3	1	0	0	0	2	1	1	0	3	4	4	3	1	0	0	0	59
12	28	46	34	10	7	13	0	2	4	3	1	0	1	2	1	1	1	1	1	1	4	3	4	4	0	1	0	0	45
35	27	37	21	11	12	3	4	1	3	3	3	2	1	1	0	1	1	1	1	1	4	4	4	4	0	0	0	1	55
51	9	42	18	9	0	21	0	4	2	3	1	2	0	2	0	2	0	1	1	1	4	3	4	4	1	0	0	0	84
33	35	17	35	15	0	0	15	4	1	1	4	1	1	0	2	1	2	1	0	0	4	4	4	4	1	0	0	0	43
27	27	41	25	21	7	0	2	4	4	0	2	1	0	2	1	1	1	1	1	1	4	3	3	4	0	0	1	0	93
25	32	24	39	21	3	4	2	3	3	2	2	1	1	1	1	1	1	0	2	1	4	4	4	4	0	1	0	0	55
30	20	28	42	0	4	13	13	1	3	4	2	0	1	2	1	2	0	0	2	1	4	4	4	3	0	0	0	1	74
38	25	35	22	0	10	7	13	1	2	3	4	1	1	1	1	2	1	1	0	0	4	4	3	4	0	1	0	0	56
20	7	38	55	5	4	11	10	2	2	4	2	1	0	2	1	0	0	1	3	1	4	4	4	4	1	0	0	0	72
36	24	32	28	17	3	0	10	3	4	1	2	2	1	1	0	0	1	1	2	1	4	3	4	4	0	0	1	0	52
41	44	26	9	13	17	0	0	3	5	2	0	1	3	0	0	2	0	2	0	0	4	4	3	3	0	0	1	0	69
33	29	40	18	13	10	4	3	3	1	3	3	2	0	1	1	0	2	2	0	1	4	4	4	4	0	1	0	0	76
36	33	18	33	10	3	2	15	2	2	2	4	2	1	0	1	1	1	1	1	0	4	4	4	4	0	0	0	1	66
31	27	17	45	3	4	2	21	2	1	3	4	1	1	1	1	1	0	0	3	0	4	4	4	3	0	0	0	1	45
51	17	17	35	11	0	4	15	1	1	4	4	3	0	0	1	1	1	1	1	1	4	4	4	4	0	0	1	0	80
4	28	42	46	0	4	0	26	3	2	0	5	0	1	2	1	0	1	0	3	0	4	4	3	4	1	0	0	0	34
35	33	37	15	21	6	0	3	4	3	1	2	1	1	2	0	2	1	0	1	1	3	4	4	4	1	0	0	0	103
16	50	29	25	5	11	0	14	4	2	1	3	1	2	0	1	0	1	2	1	0	4	4	4	4	0	1	0	0	50
28	47	9	36	4	2	3	21	3	2	3	2	1	2	0	1	1	2	0	1	0	3	4	4	4	0	0	0	1	36
33	30	31	26	10	11	7	2	2	1	4	3	1	1	1	1	2	1	1	0	0	3	4	3	4	1	0	0	0	75
14	34	25	47	0	14	6	10	3	3	3	1	0	2	1	1	1	0	0	3	0	4	4	4	4	0	0	1	0	53
56	17	36	11	27	0	3	0	5	2	1	2	2	0	1	1	2	1	1	0	1	3	4	4	4	0	1	0	0	116
30	40	19	31	0	21	3	6	2	2	2	4	1	2	0	1	1	1	1	1	0	4	4	4	4	0	1	0	0	34
25	32	34	29	12	11	4	3	3	2	2	3	0	2	1	1	2	0	1	1	0	3	4	4	3	0	0	0	1	98
29	21	37	33	21	4	2	3	3	3	2	2	1	0	2	1	1	1	1	1	1	4	4	4	4	0	0	1	0	39
27	19	44	30	14	4	10	2	5	2	2	1	1	0	2	1	1	0	2	1	1	3	4	4	4	1	0	0	0	113
24	35	16	45	14	4	0	12	4	2	2	2	1	1	1	1	1	1	0	2	1	4	4	4	4	0	0	1	0	38
27	18	34	41	10	0	20	0	2	1	5	2	0	1	1	2	2	0	1	1	1	4	4	4	4	0	1	0	0	81
36	38	12	34	14	2	3	11	3	2	2	3	1	1	0	2	1	2	0	1	0	4	4	4	3	0	0	0	1	36
8	30	34	48	4	12	14	0	3	3	3	1	0	1	1	2	0	1	1	2	1	4	4	4	4	1	0	0	0	49
35	22	39	24	11	4	0	15	1	2	2	5	3	0	1	0	0	1	2	1	1	4	4	4	4	0	0	1	0	78
22	38	31	29	7	2	21	0	3	2	3	2	1	1	1	1	0	2	1	1	1	4	4	4	4	0	1	0	0	81
4	59	29	28	0	0	19	11	0	1	5	4	0	3	0	1	0	2	1	1	0	3	4	3	4	0	0	0	1	29
