Mode: 18 #Games: 1000 Notes: u1-3Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
27	48	16	29	15	0	0	15	4	2	1	3	0	2	0	2	2	2	0	0	0	4	4	4	4	0	0	1	0	46
22	11	31	56	4	2	3	21	2	1	4	3	1	0	1	2	0	0	1	3	0	4	4	4	4	0	0	0	1	49
28	51	25	16	10	14	6	0	3	2	3	2	1	2	1	0	1	2	0	1	0	4	4	4	4	1	0	0	0	48
33	41	26	20	16	11	0	3	3	2	1	4	1	2	1	0	1	1	1	1	0	4	4	4	4	0	1	0	0	59
10	6	52	52	0	2	21	7	3	3	2	2	0	0	2	2	0	0	2	2	1	4	4	4	4	1	0	0	0	52
37	24	30	29	2	13	11	4	2	3	4	1	1	1	1	1	1	1	1	1	1	4	4	4	4	0	1	0	0	65
32	8	47	33	13	0	0	17	3	3	0	4	2	0	1	1	0	0	3	1	1	4	4	3	3	0	0	1	0	89
20	21	32	47	13	0	4	13	4	1	2	3	0	0	1	3	1	1	1	1	0	3	4	3	4	1	0	0	0	84
20	17	23	60	0	0	6	24	3	0	3	4	0	1	0	3	1	0	1	2	0	4	3	4	4	0	1	0	0	30
21	53	19	27	3	11	16	0	1	3	5	1	1	3	0	0	0	1	1	2	0	4	4	3	4	0	0	0	1	54
30	13	31	46	0	2	28	0	1	2	6	1	1	0	1	2	1	0	1	2	1	4	4	4	4	0	0	1	0	93
30	28	37	25	2	4	14	10	3	1	4	2	0	1	2	1	2	1	0	1	1	4	4	3	4	0	0	1	0	89
32	20	15	53	2	0	0	28	1	2	3	4	2	0	1	1	0	1	0	3	0	4	3	4	3	0	0	1	0	0
29	26	10	55	4	10	2	14	2	2	3	3	1	1	0	2	1	1	0	2	0	4	4	4	4	0	0	0	1	44
20	24	39	37	2	4	3	21	1	3	2	4	0	1	2	1	1	0	1	2	0	4	4	4	4	0	0	0	1	52
47	23	21	29	17	2	0	11	4	2	1	3	1	0	1	2	2	1	1	0	0	4	4	4	4	0	0	0	1	93
29	36	18	37	4	0	3	23	2	1	2	5	1	1	1	1	1	1	0	2	0	4	4	4	4	1	0	0	0	48
46	27	11	36	14	0	5	11	3	1	4	2	1	0	0	3	2	2	0	0	0	4	4	4	3	0	1	0	0	68
42	19	21	38	2	13	0	15	3	3	0	4	1	0	1	2	2	1	0	1	0	4	4	3	4	1	0	0	0	48
30	41	28	21	2	14	0	14	3	3	1	3	2	0	1	1	0	3	1	0	0	4	4	4	4	0	0	1	0	64
54	13	27	26	11	2	17	0	1	4	4	1	2	1	0	1	2	0	1	1	1	4	4	4	4	1	0	0	0	90
22	35	45	18	7	0	23	0	2	1	4	3	1	1	2	0	0	2	1	1	1	4	4	4	4	0	1	0	0	76
21	40	43	16	3	0	21	6	2	1	4	3	0	1	3	0	1	2	1	0	1	4	4	4	4	1	0	0	0	68
39	57	8	16	14	11	2	3	3	1	2	4	1	3	0	0	2	2	0	0	0	4	4	4	4	0	1	0	0	60
32	26	25	37	16	4	0	10	4	1	3	2	2	1	1	0	0	0	1	3	1	4	4	4	4	0	0	1	0	90
25	34	16	45	4	0	2	24	4	0	2	4	1	1	0	2	1	1	1	1	0	4	3	4	3	0	0	1	0	53
53	22	18	27	15	0	2	13	3	1	2	4	3	0	0	1	1	1	1	1	1	4	4	4	4	0	0	0	1	47
34	18	28	40	12	0	7	11	3	1	4	2	1	1	1	1	1	0	1	2	0	3	4	3	4	0	1	0	0	67
16	44	29	31	10	17	0	3	3	4	1	2	0	3	1	0	1	0	1	2	0	4	4	4	4	0	0	0	1	26
19	32	34	35	0	2	10	18	0	1	5	4	1	1	1	1	0	1	2	1	0	3	4	3	4	0	0	0	1	73
17	38	30	35	2	10	14	4	3	2	3	2	0	2	1	1	1	1	0	2	1	3	4	4	4	0	0	1	0	66
30	33	23	34	3	27	0	0	2	4	2	2	1	1	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	71
38	31	27	24	2	10	11	7	3	3	2	2	1	1	1	1	2	1	1	0	1	4	4	4	3	1	0	0	0	69
29	50	28	13	16	11	3	0	5	1	3	1	0	2	2	0	2	2	0	0	0	3	4	4	4	1	0	0	0	66
47	17	27	29	14	2	4	10	3	3	2	2	2	1	0	1	1	0	2	1	1	4	4	4	4	0	1	0	0	76
14	33	31	42	3	17	10	0	3	4	3	0	1	1	1	1	0	1	1	2	0	4	4	4	3	0	0	1	0	51
25	32	27	36	13	11	2	4	4	3	1	2	0	2	1	1	2	1	0	1	0	4	4	4	4	0	1	0	0	48
36	30	17	37	10	13	0	7	3	4	1	2	1	1	1	1	2	1	0	1	0	3	4	4	4	0	0	0	1	71
14	45	28	33	2	10	7	11	3	2	3	2	0	2	1	1	1	2	0	1	0	4	4	3	4	0	0	1	0	46
34	41	17	28	2	17	0	11	1	4	1	4	1	1	0	2	1	2	1	0	0	4	4	4	4	0	0	0	1	51
36	38	29	17	23	0	4	3	3	0	5	2	1	2	1	0	1	1	1	1	1	4	3	4	4	0	0	0	1	70
19	30	55	16	4	13	0	13	2	2	2	4	1	1	2	0	0	1	2	1	0	4	4	4	4	0	1	0	0	85
35	16	41	28	7	2	0	21	3	3	2	2	1	0	2	1	1	1	1	1	0	4	4	4	4	1	0	0	0	66
18	29	47	26	0	6	11	13	4	2	1	3	0	1	2	1	1	0	2	1	1	3	4	4	4	0	0	1	0	74
12	38	26	44	2	13	11	4	4	2	3	1	0	1	1	2	0	2	1	1	1	3	4	4	4	1	0	0	0	47
52	33	20	15	11	12	7	0	1	2	6	1	2	1	0	1	2	1	1	0	1	4	4	3	4	0	1	0	0	92
21	37	34	28	0	3	11	16	1	4	1	4	1	1	2	0	0	2	0	2	1	4	4	4	3	0	0	0	1	41
19	32	44	25	0	4	5	21	2	1	2	5	0	1	2	1	1	1	1	1	0	4	4	4	4	0	1	0	0	76
41	25	18	36	13	4	0	13	3	2	3	2	1	1	1	1	2	0	0	2	1	4	4	4	4	1	0	0	0	61
34	24	20	42	11	14	2	3	1	4	2	3	1	0	1	2	1	2	0	1	1	4	4	4	4	0	0	1	0	44
6	41	39	34	2	11	14	3	3	3	3	1	0	3	0	1	0	0	3	1	0	4	4	4	4	0	1	0	0	52
39	27	18	36	23	0	7	0	4	1	3	2	1	0	1	2	2	1	0	1	1	4	4	4	4	0	0	0	1	65
18	17	33	52	0	4	3	23	2	3	1	4	0	1	1	2	1	0	1	2	0	4	4	4	4	0	0	1	0	31
48	20	20	32	12	11	0	7	3	2	1	4	1	1	1	1	3	0	0	1	0	4	4	4	4	0	0	1	0	58
15	51	30	24	0	23	0	7	2	3	2	3	1	2	0	1	0	2	2	0	0	4	4	4	4	0	0	0	1	49
52	35	22	11	21	2	4	3	4	2	2	2	2	1	1	0	2	2	0	0	1	3	4	3	4	1	0	0	0	77
31	38	23	28	0	11	7	12	1	2	3	4	1	1	1	1	1	2	0	1	0	4	4	3	3	1	0	0	0	14
10	12	45	53	0	3	2	25	2	2	2	4	0	0	2	2	1	0	1	2	0	4	4	4	3	0	1	0	0	52
20	39	29	32	5	10	4	11	3	2	4	1	0	1	1	2	1	2	1	0	0	4	4	4	4	1	0	0	0	59
46	31	17	26	10	4	0	16	2	2	2	4	0	2	1	1	3	0	0	1	0	4	4	3	3	0	1	0	0	22
27	42	15	36	15	15	0	0	4	3	3	0	0	2	0	2	2	0	1	1	0	4	4	4	3	0	1	0	0	31
36	9	56	19	5	4	21	0	4	4	2	0	1	0	2	1	1	0	3	0	1	4	4	4	3	0	0	1	0	100
43	13	35	29	0	2	15	13	0	4	2	4	0	1	2	1	3	0	0	1	1	3	3	4	4	0	0	0	1	54
22	66	16	16	5	25	0	0	3	3	2	2	1	3	0	0	0	2	1	1	0	3	4	3	4	0	0	1	0	72
32	40	8	40	14	2	0	14	4	1	2	3	1	2	0	1	1	1	0	2	0	4	4	4	4	0	0	1	0	36
27	14	37	42	11	2	4	13	2	4	2	2	1	0	1	2	0	1	2	1	1	4	4	4	4	0	0	0	1	45
26	20	48	26	3	4	21	2	2	3	3	2	0	1	2	1	2	0	2	0	1	4	3	4	4	0	0	0	1	63
7	17	50	46	0	2	13	15	2	2	3	3	0	0	1	3	0	1	3	0	0	4	4	3	3	0	0	0	1	84
31	36	31	22	2	15	10	3	2	2	4	2	1	2	1	0	1	0	2	1	0	4	4	3	4	1	0	0	0	103
38	9	18	55	13	7	0	10	3	4	2	1	1	0	1	2	1	0	0	3	1	4	4	4	4	1	0	0	0	46
30	46	27	17	11	14	2	3	3	3	2	2	1	1	1	1	1	2	1	0	1	4	4	4	4	1	0	0	0	75
24	39	28	29	12	0	7	11	2	2	3	3	0	2	1	1	1	1	1	1	0	4	4	4	4	1	0	0	0	60
24	33	37	26	4	11	10	5	1	3	2	4	0	1	2	1	0	2	1	1	0	4	4	4	3	0	1	0	0	63
28	36	35	21	13	0	7	10	2	0	4	4	1	1	1	1	1	1	1	1	1	4	3	4	4	0	1	0	0	83
17	32	14	57	3	10	2	15	4	2	1	3	0	1	0	3	1	1	1	1	0	3	4	4	4	0	1	0	0	55
34	32	30	24	13	2	15	0	2	2	4	2	1	1	1	1	1	1	1	1	1	4	4	3	4	0	0	1	0	104
41	24	13	42	6	14	0	10	3	4	1	2	3	1	0	0	0	1	0	3	0	4	4	4	4	0	0	1	0	50
35	37	8	40	11	13	6	0	2	4	4	0	2	0	0	2	0	3	0	1	1	4	4	4	3	0	0	1	0	22
18	42	39	21	11	0	13	6	2	2	3	3	1	1	2	0	0	2	1	1	1	4	4	4	4	0	0	0	1	88
18	36	27	39	11	5	4	10	2	4	3	1	1	1	1	1	0	2	0	2	1	4	4	4	4	0	1	0	0	64
45	28	38	9	10	11	6	3	2	1	4	3	1	1	2	0	2	1	1	0	0	4	4	4	4	0	0	0	1	92
22	21	38	39	4	11	10	5	1	3	2	4	1	1	0	2	0	0	3	1	0	4	4	3	3	0	0	1	0	46
32	7	60	21	0	4	24	2	0	4	3	3	1	0	2	1	1	0	3	0	1	3	3	4	4	0	0	0	1	87
20	46	18	36	2	13	15	0	2	2	4	2	1	1	1	1	0	2	0	2	1	4	4	4	4	0	0	0	1	45
17	50	31	22	10	13	4	3	2	3	2	3	0	3	0	1	1	1	2	0	0	4	4	4	4	1	0	0	0	45
35	21	13	51	21	7	2	0	3	4	3	0	1	0	1	2	1	1	0	2	1	4	4	4	3	1	0	0	0	39
32	19	39	30	17	2	0	11	3	3	1	3	1	0	2	1	1	1	1	1	0	3	4	4	3	1	0	0	0	45
26	52	18	24	10	4	14	2	2	1	4	3	0	3	1	0	2	1	0	1	1	4	4	4	4	0	1	0	0	72
51	40	14	15	10	14	6	0	2	4	4	0	2	2	0	0	2	1	0	1	0	4	4	4	3	0	1	0	0	63
6	54	37	23	0	21	7	2	1	4	3	2	0	1	2	1	0	4	0	0	0	4	4	4	4	0	1	0	0	19
24	6	40	50	2	3	14	11	3	4	2	1	0	0	0	4	1	0	3	0	0	4	4	4	4	0	0	1	0	59
31	19	37	33	14	12	0	4	4	3	0	3	1	0	1	2	1	1	2	0	1	4	4	3	3	0	0	1	0	66
23	28	23	46	2	10	14	4	3	2	4	1	1	0	1	2	1	2	0	1	1	4	4	4	4	0	0	0	1	72
21	41	38	20	10	20	0	0	3	4	0	3	0	2	2	0	1	1	1	1	0	4	4	3	4	0	0	0	1	60
36	17	25	42	24	0	4	2	5	2	2	1	1	0	1	2	2	1	0	1	1	3	4	3	4	1	0	0	0	45
53	43	4	20	10	7	0	13	1	3	3	3	1	2	0	1	4	0	0	0	0	4	4	4	4	0	0	1	0	0
34	21	36	29	4	10	0	16	3	1	1	5	1	0	1	2	1	1	2	0	0	3	4	4	4	0	1	0	0	55
9	42	30	39	2	3	14	11	4	1	4	1	0	2	1	1	0	1	1	2	0	4	4	4	4	0	0	0	1	66
28	32	36	24	0	15	12	3	2	3	3	2	1	1	1	1	1	1	2	0	0	4	4	4	4	0	0	1	0	65
27	52	8	33	10	17	0	3	3	5	1	1	0	4	0	0	2	0	0	2	0	4	4	4	4	1	0	0	0	43
