Mode: 18 #Games: 1000 Notes: u1-Deep
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
26	42	35	17	0	18	10	2	3	4	2	1	1	2	1	0	1	1	2	0	0	4	3	4	4	0	0	1	0	36
43	31	32	14	25	3	2	0	3	2	2	3	2	1	1	0	1	1	1	1	1	3	4	4	4	0	0	1	0	90
26	39	8	47	4	26	0	0	3	4	3	0	0	2	0	2	1	1	0	2	0	4	4	4	3	1	0	0	0	4
20	46	24	30	0	15	0	15	2	4	1	3	1	1	1	1	0	3	0	1	0	4	4	4	4	0	1	0	0	13
28	50	32	10	12	11	4	3	2	3	3	2	1	3	0	0	1	1	2	0	0	4	4	4	4	0	0	0	1	78
44	39	5	32	17	10	3	0	4	3	2	1	2	1	0	1	1	2	0	1	1	4	4	4	4	0	0	1	0	30
14	42	24	40	12	3	4	11	3	1	3	3	0	2	0	2	1	1	1	1	0	4	4	4	4	0	0	0	1	33
22	37	22	39	7	2	11	10	3	3	2	2	1	1	1	1	0	2	0	2	1	4	4	4	4	0	0	0	1	69
37	22	32	29	10	0	20	0	3	1	5	1	2	0	1	1	1	1	1	1	1	4	4	3	4	1	0	0	0	104
32	19	41	28	4	13	3	10	2	4	3	1	1	1	1	1	1	0	2	1	0	4	4	4	4	1	0	0	0	90
15	51	42	12	2	10	15	3	3	1	3	3	1	1	2	0	0	3	1	0	1	4	4	4	4	1	0	0	0	74
21	31	19	49	0	14	3	13	2	3	3	2	0	0	1	3	1	2	0	1	0	4	4	4	4	0	1	0	0	23
36	16	18	50	25	3	2	0	4	3	2	1	1	1	0	2	1	0	1	2	1	4	3	4	4	0	1	0	0	48
45	17	19	39	0	4	10	16	1	3	1	5	1	1	0	2	2	0	1	1	0	4	4	4	4	1	0	0	0	44
43	18	30	29	15	3	0	12	4	2	1	3	2	1	0	1	1	0	2	1	1	4	4	4	4	0	1	0	0	81
39	50	22	9	13	13	4	0	4	4	1	1	2	1	1	0	1	3	0	0	1	4	4	4	4	0	0	1	0	72
8	23	32	57	5	0	0	25	3	3	1	3	0	1	1	2	0	1	1	2	0	4	4	4	4	0	0	1	0	38
35	35	16	34	9	21	0	0	4	4	1	1	2	1	0	1	0	2	1	1	0	3	4	4	4	0	1	0	0	75
13	36	61	10	5	10	15	0	3	3	3	1	0	1	3	0	0	2	2	0	1	4	4	4	4	0	0	1	0	94
55	36	13	16	14	0	0	16	2	0	4	4	1	1	1	1	3	1	0	0	0	4	3	4	4	0	0	1	0	53
34	25	21	40	7	2	10	11	3	1	4	2	0	0	1	3	2	1	1	0	0	4	4	4	4	0	0	0	1	69
21	60	17	22	14	14	2	0	2	3	4	1	0	3	1	0	1	2	0	1	0	4	3	4	4	0	0	0	1	45
39	21	24	36	11	2	14	3	4	2	3	1	2	0	0	2	1	1	2	0	1	4	4	3	4	1	0	0	0	72
30	33	23	34	10	0	3	17	2	1	3	4	1	0	1	2	1	3	0	0	0	4	4	4	3	0	0	0	1	57
35	29	32	24	0	0	25	5	1	3	3	3	1	1	1	1	2	1	1	0	1	4	3	4	3	0	0	0	1	91
33	28	35	24	11	7	0	12	2	2	2	4	1	1	2	0	1	1	1	1	1	4	4	4	4	0	1	0	0	72
28	45	30	17	0	12	15	3	2	3	3	2	1	1	2	0	1	2	0	1	1	4	4	4	4	1	0	0	0	67
31	21	30	38	2	7	0	21	2	4	1	3	1	0	1	2	1	1	1	1	0	4	4	4	4	0	0	1	0	64
18	19	47	36	0	0	23	7	1	3	4	2	0	1	2	1	1	0	2	1	1	4	4	4	4	1	0	0	0	85
12	48	34	26	4	13	13	0	3	2	3	2	0	0	2	2	0	3	1	0	1	4	4	4	4	0	1	0	0	65
