Mode: 18 #Games: 1000 Notes: u1-Half
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
26	31	31	32	0	12	0	18	2	3	1	4	1	1	0	2	1	1	2	0	0	4	4	4	4	0	0	1	0	36
37	23	29	31	3	15	12	0	3	4	3	0	1	1	1	1	2	0	1	1	0	4	4	4	3	0	0	1	0	56
22	18	50	30	4	0	11	15	5	1	1	3	0	1	2	1	1	0	2	1	1	3	4	4	4	1	0	0	0	63
23	35	16	46	11	0	14	5	3	0	5	2	1	1	0	2	0	2	1	1	1	4	3	3	4	0	0	0	1	83
24	18	47	31	0	2	3	25	2	1	2	5	1	1	1	1	1	0	2	1	0	4	4	4	4	0	0	0	1	45
39	53	8	20	0	17	2	11	1	3	2	4	2	1	0	1	1	3	0	0	0	4	4	4	4	0	1	0	0	35
39	24	20	37	28	0	2	0	5	1	2	2	1	1	1	1	1	1	0	2	1	3	4	4	4	1	0	0	0	85
35	27	26	32	10	11	7	2	3	2	3	2	1	2	0	1	2	0	1	1	0	4	4	4	4	1	0	0	0	44
40	16	32	32	17	0	0	13	5	0	1	4	1	1	1	1	2	0	1	1	0	4	3	4	4	1	0	0	0	88
31	35	45	9	3	4	21	2	1	3	2	4	1	1	2	0	1	2	1	0	1	4	4	4	4	0	1	0	0	70
41	32	20	27	14	14	2	0	3	4	1	2	1	1	1	1	2	1	0	1	1	3	3	4	4	0	0	1	0	92
16	18	46	40	0	0	24	6	4	1	3	2	1	1	1	1	0	0	2	2	1	4	4	3	4	0	1	0	0	63
16	42	37	25	14	11	0	5	2	2	2	4	0	2	2	0	1	1	1	1	0	4	4	4	4	0	0	1	0	78
37	36	30	17	13	6	11	0	5	2	1	2	2	0	2	0	1	2	0	1	1	3	4	4	4	0	0	0	1	89
32	20	37	31	0	2	14	14	2	2	3	3	1	1	2	0	1	0	1	2	1	4	4	4	4	0	0	0	1	73
27	22	33	38	11	7	10	2	1	4	2	3	1	0	1	2	1	1	1	1	1	3	4	4	4	0	0	1	0	58
36	21	26	37	2	3	10	15	2	3	3	2	1	1	0	2	2	0	2	0	0	3	4	4	4	0	1	0	0	75
50	27	34	9	11	12	4	3	2	3	2	3	4	0	0	0	0	2	2	0	1	4	4	4	4	1	0	0	0	77
29	33	24	34	15	0	4	11	3	2	2	3	0	2	0	2	2	0	1	1	0	4	4	4	4	0	0	1	0	53
32	46	15	27	5	21	4	0	4	4	1	1	1	3	0	0	1	1	0	2	0	4	4	4	3	0	0	0	1	38
31	31	27	31	12	11	7	0	3	4	2	1	1	1	0	2	1	2	1	0	0	4	4	4	4	0	0	0	1	41
26	12	38	44	0	2	18	10	2	2	4	2	1	0	1	2	1	0	1	2	1	4	4	4	4	0	1	0	0	48
23	19	30	48	10	0	4	16	2	2	1	5	0	0	1	3	1	1	1	1	0	4	4	4	4	1	0	0	0	31
41	30	15	34	14	11	5	0	2	2	5	1	1	1	0	2	2	1	1	0	0	4	4	4	4	1	0	0	0	76
8	22	46	44	2	4	21	3	3	3	2	2	0	1	2	1	0	0	2	2	1	4	4	3	3	0	0	1	0	83
38	26	35	21	21	0	4	5	2	0	5	3	1	1	1	1	2	0	2	0	1	4	3	4	4	0	1	0	0	81
17	56	28	19	0	14	12	4	1	2	4	3	1	3	0	0	0	2	2	0	0	4	3	4	4	1	0	0	0	67
28	19	29	44	4	13	0	13	2	3	1	4	1	1	1	1	1	0	1	2	0	4	4	4	4	0	1	0	0	48
27	46	29	18	0	4	14	12	1	3	4	2	1	2	1	0	0	2	1	1	1	4	4	4	4	0	1	0	0	75
37	19	24	40	13	0	0	17	3	3	1	3	1	1	1	1	2	0	0	2	0	4	4	4	3	0	0	0	1	69
23	34	22	41	0	18	10	2	0	4	3	3	0	2	0	2	1	0	2	1	0	3	4	4	4	0	0	1	0	20
13	36	18	53	0	17	3	10	1	4	2	3	1	2	0	1	0	0	0	4	0	4	4	4	4	0	0	1	0	30
47	26	31	16	12	3	11	4	3	4	1	2	2	1	1	0	2	1	1	0	1	4	4	4	4	0	0	0	1	87
