Mode: 5 (N=200,HP) #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
34	13	3	18	12	19	4	14	36	33	31	16	11	5	37	1	38	30	22	20	0	0	58	708	0	491	470	443	510	197	190	0	0	
34	13	3	18	12	19	4	14	36	33	31	16	11	5	37	1	38	30	22	20	0	0	81	693	0	497	470	443	610	286	185	0	0	
19	11	8	6	0	4	20	18	1	2	25	17	9	36	21	38	33	27	28	22	1	1	66	0	314	196	0	414	295	194	187	0	0	
32	18	29	26	7	21	1	8	6	2	11	16	0	28	9	38	39	23	36	14	3	1	81	318	221	0	0	514	0	291	187	0	0	
2	17	36	24	18	8	14	26	3	13	15	7	4	39	10	31	20	25	11	23	3	2	34	220	0	0	615	503	0	197	0	175	0	
30	4	11	3	15	20	17	39	31	12	23	35	34	32	0	6	14	25	13	37	2	3	19	221	0	0	0	0	0	280	274	174	0	
7	39	24	26	35	13	18	30	27	38	25	5	37	23	9	8	2	22	0	6	0	2	74	0	967	409	713	599	459	359	265	0	0	
25	29	15	20	23	9	14	2	28	31	6	33	39	27	13	1	34	5	22	18	0	0	104	1120	211	0	189	0	448	292	193	178	0	
18	16	20	28	38	22	23	26	15	7	4	34	39	24	33	2	35	11	9	5	0	3	86	327	212	0	629	0	400	282	174	0	0	
14	26	17	8	39	9	29	1	16	24	5	30	18	22	11	34	23	27	6	20	1	1	60	319	212	0	660	177	0	361	260	178	0	
20	13	4	8	37	18	24	23	30	6	0	2	11	9	36	19	1	32	16	31	2	0	55	972	212	0	0	601	478	0	184	0	0	
2	38	25	32	22	13	35	26	4	19	30	16	9	6	3	33	37	11	5	24	1	2	55	217	0	345	236	0	477	374	271	172	0	
7	28	10	23	26	0	38	27	14	6	39	9	12	33	29	20	3	19	25	15	0	1	89	320	214	0	699	316	206	194	262	173	0	
20	3	25	22	23	15	28	30	1	11	36	0	4	16	9	39	17	6	12	14	3	3	32	446	383	254	0	220	0	365	0	176	0	
31	38	33	26	25	22	30	23	1	16	14	15	4	28	2	20	0	11	34	6	3	2	51	337	0	667	510	417	302	291	185	0	0	
34	5	22	6	3	36	35	31	9	13	29	17	27	23	39	33	25	24	14	10	1	0	30	1100	377	255	0	587	0	366	268	172	0	
10	31	15	2	12	30	3	32	18	6	28	24	25	23	19	17	26	0	35	34	2	3	69	446	371	0	0	510	386	0	0	172	0	
17	3	36	6	39	31	2	23	30	25	0	10	37	14	13	35	24	5	29	12	1	1	65	0	725	582	0	388	0	273	184	167	0	
6	25	7	28	1	13	15	20	17	19	2	23	12	14	38	35	22	29	8	37	0	0	31	1099	323	200	322	309	205	365	270	175	0	
25	6	5	1	2	12	8	22	34	7	15	11	16	21	17	10	0	20	33	39	1	2	34	217	0	757	442	326	0	0	182	169	0	
23	22	33	39	16	6	13	1	35	10	24	37	8	2	21	5	15	31	7	19	2	3	18	0	0	287	185	0	291	196	0	168	0	
35	25	14	22	5	23	9	18	12	16	37	26	2	38	34	31	21	28	3	8	3	1	47	0	869	214	0	576	380	0	261	166	0	
13	27	7	4	16	14	19	20	1	5	2	39	17	3	33	28	30	38	32	15	3	0	98	1008	209	841	715	578	206	0	187	0	0	
30	3	7	22	35	9	19	4	31	34	38	12	13	16	29	27	11	21	1	26	2	2	61	0	725	749	716	0	490	0	280	167	0	
16	39	14	21	18	17	27	30	38	35	9	0	5	7	24	29	33	26	32	23	1	1	65	488	362	856	712	594	213	0	0	176	0	
27	29	26	39	38	4	32	34	12	3	9	35	6	22	20	2	36	25	18	11	0	3	77	0	844	827	0	569	0	374	273	172	0	
32	14	5	21	8	37	28	19	15	35	36	23	27	0	7	12	2	31	18	25	3	2	41	315	207	295	191	0	212	0	267	0	0	
14	6	39	22	17	0	31	3	9	10	4	5	30	21	33	23	24	1	20	19	0	0	68	1065	359	339	232	0	491	375	273	0	0	
24	4	6	19	28	27	3	20	5	21	12	39	26	29	23	14	36	1	18	16	1	3	91	452	373	257	343	225	492	370	0	183	0	
37	4	13	22	12	38	36	31	29	20	11	28	32	2	1	17	9	6	24	5	3	1	23	431	319	253	0	490	0	269	0	166	0	
15	30	38	7	12	22	11	3	24	8	33	10	14	6	39	32	19	2	34	27	2	2	26	214	199	0	599	216	0	203	0	0	0	
28	8	20	16	1	33	7	22	21	9	12	2	24	3	26	36	32	27	6	14	3	0	23	899	413	313	240	0	298	0	198	0	0	
19	3	24	13	12	14	15	1	16	0	37	33	38	31	21	25	30	10	8	5	1	1	90	0	607	610	488	218	0	365	270	0	0	
4	16	17	37	3	14	7	0	18	6	31	34	11	9	30	8	1	23	35	20	3	3	71	427	314	250	0	511	380	279	262	171	0	
37	32	15	6	0	11	10	16	13	30	9	12	38	31	18	7	19	33	36	17	2	2	18	330	208	0	430	509	378	276	187	176	0	
11	21	24	25	8	9	17	15	10	28	20	7	31	14	0	32	12	34	13	22	1	0	63	992	315	731	591	547	0	327	0	173	0	
6	38	15	23	37	34	25	1	28	3	19	39	32	31	2	20	35	17	9	26	1	3	71	325	212	300	196	0	0	370	0	174	0	
19	13	30	22	35	10	15	3	17	8	12	34	32	16	11	0	4	6	33	36	1	1	79	0	262	0	517	591	483	0	264	177	0	
15	16	35	24	6	0	18	9	32	21	10	33	8	25	12	17	29	28	19	34	3	0	69	1108	0	201	0	553	470	367	0	169	0	
19	13	12	34	37	25	23	17	22	7	24	10	39	36	18	15	3	20	5	30	0	2	26	220	0	207	0	479	0	367	259	175	0	
20	22	39	1	16	13	34	2	26	6	11	24	25	28	21	31	27	30	10	3	2	1	62	218	0	730	329	0	402	0	190	0	0	
7	1	29	14	33	36	24	32	11	9	35	5	34	30	16	27	8	23	20	3	3	3	46	328	217	0	236	227	0	198	0	165	0	
2	29	23	10	38	36	39	26	21	18	9	16	13	22	4	25	20	14	3	1	1	2	72	0	921	813	329	224	0	364	258	0	0	
20	18	33	32	23	17	28	25	12	8	16	15	3	4	6	2	22	31	11	26	3	0	19	954	0	838	714	312	282	198	254	176	0	
9	16	34	21	39	18	0	24	5	6	19	14	23	30	1	28	4	7	37	22	1	3	67	216	0	196	0	180	0	327	263	169	0	
30	15	21	0	36	19	7	17	20	24	34	33	12	39	6	14	25	35	1	22	3	1	57	220	209	0	571	182	376	0	179	164	0	
8	5	31	23	21	3	37	15	11	12	1	35	9	24	13	36	19	2	16	39	2	0	44	973	0	733	191	0	206	0	0	170	0	
20	26	32	34	15	5	7	25	10	16	2	21	24	36	0	9	12	33	22	28	2	2	56	312	217	0	723	224	467	0	262	177	0	
15	29	34	25	33	11	14	7	22	30	6	24	31	23	28	19	12	38	13	21	1	1	40	0	855	206	640	513	0	288	191	0	0	
5	6	1	9	39	21	15	12	0	26	13	37	38	20	10	29	25	31	24	27	1	2	69	212	0	730	418	391	0	370	0	178	0	
25	8	3	9	37	26	20	6	2	4	32	7	28	12	17	14	10	21	39	16	3	3	22	0	762	746	617	500	0	282	266	174	0	
20	33	31	35	9	30	25	23	5	18	19	13	29	15	37	14	6	0	22	21	1	3	74	0	835	0	549	269	171	190	182	176	0	
3	5	32	29	11	4	16	14	27	34	36	7	24	38	0	17	9	28	15	22	0	0	77	975	0	702	237	232	0	0	192	176	0	
10	28	36	31	20	12	32	4	39	11	8	0	14	13	29	6	18	27	30	19	3	0	72	740	205	0	481	224	0	199	0	0	0	
20	13	18	30	7	33	26	21	38	23	6	15	32	37	17	16	9	22	3	31	2	1	40	212	0	685	595	481	0	289	189	173	0	
4	19	6	8	27	37	24	30	0	36	5	13	31	7	16	21	33	25	29	23	0	1	66	474	371	0	730	0	200	0	251	164	0	
35	22	11	1	14	32	31	18	27	21	0	16	23	39	34	37	8	4	10	33	1	2	21	218	0	714	598	212	0	269	0	0	0	
3	5	19	14	23	25	4	35	6	38	37	9	12	17	21	26	27	13	11	24	3	3	40	333	214	0	197	0	489	0	268	180	0	
21	6	28	24	29	39	3	17	26	23	36	37	9	38	10	1	27	8	15	22	3	2	72	0	850	456	229	0	395	282	188	175	0	
13	24	28	35	25	36	6	31	21	9	14	12	38	23	39	4	5	19	20	33	1	3	73	0	949	0	687	189	0	370	264	181	0	
17	4	27	16	8	34	38	7	32	1	2	39	11	21	29	20	0	18	9	10	1	0	79	1076	202	0	726	0	0	376	280	175	0	
21	8	0	15	24	39	3	11	10	32	12	5	6	34	26	13	37	18	27	35	0	0	42	1002	0	297	190	183	0	0	194	0	0	
8	24	23	17	9	7	11	39	28	31	37	27	36	3	18	32	4	25	26	20	0	1	109	308	206	0	625	0	384	198	0	176	0	
4	18	15	2	39	30	21	27	24	3	7	23	19	28	34	5	0	13	37	17	0	2	71	0	0	192	0	546	180	162	0	154	0	
10	39	5	15	13	19	20	16	12	28	17	21	25	31	38	22	2	32	18	36	1	1	79	0	821	436	230	0	466	365	270	176	0	
31	20	36	17	4	5	16	30	11	3	7	18	2	37	34	35	39	33	29	13	0	3	32	0	215	312	201	0	210	0	268	176	0	
