-- GAME --
P0 HAND: AClubs, JClubs, QClubs, 4Clubs, 2Clubs, 7Hearts, JHearts, ASpades, 7Spades, 6Spades.
P1 HAND: 5Diamonds, 4Diamonds, 3Diamonds, 7Clubs, 6Hearts, 4Hearts, 3Hearts, 2Hearts, JSpades, 5Spades.
P2 HAND: ADiamonds, KDiamonds, 2Diamonds, KClubs, 5Clubs, AHearts, 5Hearts, QSpades, 4Spades, 2Spades.
P3 HAND: 7Diamonds, JDiamonds, QDiamonds, 6Diamonds, 6Clubs, 3Clubs, KHearts, QHearts, KSpades, 3Spades.
P1 2Hearts P2 AHearts P3 QHearts P0 7Hearts 
P2 ADiamonds P3 6Diamonds P0 JHearts P1 3Diamonds 
P2 2Diamonds P3 QDiamonds P0 QClubs P1 4Diamonds 
P0 AClubs P1 7Clubs P2 5Clubs P3 3Clubs 
P0 JClubs P1 3Hearts P2 KClubs P3 6Clubs 
P2 2Spades P3 3Spades P0 7Spades P1 5Spades 
P0 ASpades P1 JSpades P2 QSpades P3 KSpades 
P0 6Spades P1 4Hearts P2 4Spades P3 JDiamonds 
P0 2Clubs P1 5Diamonds P2 5Hearts P3 KHearts 
P0 4Clubs P1 6Hearts P2 KDiamonds P3 7Diamonds 
-- /GAME --

