-- GAME --
P0 HAND: ADiamonds, 7Diamonds, 6Diamonds, 2Diamonds, AClubs, KHearts, 5Hearts, 2Hearts, 7Spades, KSpades.
P1 HAND: 5Diamonds, 4Diamonds, 5Clubs, 4Clubs, 3Clubs, 2Clubs, JHearts, 3Hearts, ASpades, 4Spades.
P2 HAND: KDiamonds, JDiamonds, JClubs, 6Clubs, AHearts, 7Hearts, QHearts, QSpades, 5Spades, 2Spades.
P3 HAND: QDiamonds, 3Diamonds, 7Clubs, KClubs, QClubs, 6Hearts, 4Hearts, JSpades, 6Spades, 3Spades.
P3 3Diamonds P0 ADiamonds P1 4Diamonds P2 KDiamonds 
P0 5Hearts P1 3Hearts P2 QHearts P3 4Hearts 
P2 2Spades P3 3Spades P0 KSpades P1 ASpades 
P1 2Clubs P2 6Clubs P3 QClubs P0 AClubs 
P0 2Hearts P1 JHearts P2 7Hearts P3 6Hearts 
P2 5Spades P3 6Spades P0 7Spades P1 4Spades 
P0 7Diamonds P1 5Diamonds P2 JDiamonds P3 QDiamonds 
P0 6Diamonds P1 3Clubs P2 QSpades P3 JSpades 
P0 2Diamonds P1 4Clubs P2 AHearts P3 KClubs 
P2 JClubs P3 7Clubs P0 KHearts P1 5Clubs 
-- /GAME --

