-- GAME --
P0 HAND: ADiamonds, 3Diamonds, 2Diamonds, 7Clubs, QClubs, AHearts, 2Hearts, ASpades, JSpades, 2Spades.
P1 HAND: 7Diamonds, JDiamonds, 6Diamonds, 6Clubs, 7Hearts, QHearts, 6Hearts, KSpades, 5Spades, 4Spades.
P2 HAND: KDiamonds, QDiamonds, 5Diamonds, 4Diamonds, KClubs, KHearts, JHearts, 4Hearts, 7Spades, QSpades.
P3 HAND: AClubs, JClubs, 5Clubs, 4Clubs, 3Clubs, 2Clubs, 5Hearts, 3Hearts, 6Spades, 3Spades.
P2 4Diamonds P3 3Hearts P0 ADiamonds P1 6Diamonds 
P0 ASpades P1 4Spades P2 7Spades P3 3Spades 
P0 AHearts P1 6Hearts P2 KHearts P3 5Hearts 
P0 2Hearts P1 QHearts P2 4Hearts P3 6Spades 
P1 5Spades P2 QSpades P3 2Clubs P0 2Spades 
P3 3Clubs P0 7Clubs P1 6Clubs P2 KClubs 
P0 2Diamonds P1 7Diamonds P2 5Diamonds P3 4Clubs 
P3 5Clubs P0 QClubs P1 JDiamonds P2 KDiamonds 
P0 JSpades P1 KSpades P2 QDiamonds P3 JClubs 
P3 AClubs P0 3Diamonds P1 7Hearts P2 JHearts 
-- /GAME --

