-- GAME --
-- /GAME --
P0 HAND: ADiamonds, JDiamonds, AHearts, KHearts, JHearts, 6Hearts, 4Hearts, KSpades, QSpades, 2Spades.
P1 HAND: 7Diamonds, KDiamonds, 6Diamonds, 7Clubs, 5Clubs, 3Hearts, ASpades, 7Spades, JSpades, 5Spades.
P2 HAND: QDiamonds, 5Diamonds, 4Diamonds, 2Diamonds, AClubs, 6Clubs, 3Clubs, 2Clubs, 5Hearts, 3Spades.
P3 HAND: 3Diamonds, KClubs, JClubs, QClubs, 4Clubs, 7Hearts, QHearts, 2Hearts, 6Spades, 4Spades.
P3 2Hearts P0 AHearts P1 3Hearts P2 5Hearts 
P0 2Spades P1 ASpades P2 3Spades P3 6Spades 
P1 5Clubs P2 AClubs P3 4Clubs P0 KHearts 
P2 2Clubs P3 QClubs P0 4Hearts P1 7Clubs 
P1 5Spades P2 3Clubs P3 4Spades P0 KSpades 
P0 6Hearts P1 6Diamonds P2 6Clubs P3 7Hearts 
P1 JSpades P2 2Diamonds P3 QHearts P0 QSpades 
P2 4Diamonds P3 3Diamonds P0 JDiamonds P1 KDiamonds 
P1 7Diamonds P2 5Diamonds P3 JClubs P0 ADiamonds 
P0 JHearts P1 7Spades P2 QDiamonds P3 KClubs 

