-- GAME --
P0 HAND: 7Diamonds, 4Diamonds, 3Diamonds, 3Clubs, AHearts, JHearts, QHearts, 5Hearts, 7Spades, 4Spades.
P1 HAND: ADiamonds, JDiamonds, 6Diamonds, 7Clubs, 2Clubs, 3Hearts, ASpades, KSpades, 5Spades, 2Spades.
P2 HAND: KDiamonds, 5Diamonds, 2Diamonds, AClubs, JClubs, 6Clubs, 5Clubs, 7Hearts, KHearts, 4Hearts.
P3 HAND: QDiamonds, KClubs, QClubs, 4Clubs, 6Hearts, 2Hearts, JSpades, QSpades, 6Spades, 3Spades.
P3 2Hearts P0 AHearts P1 3Hearts P2 7Hearts 
P0 3Clubs P1 2Clubs P2 AClubs P3 4Clubs 
P2 4Hearts P3 6Hearts P0 QHearts P1 2Spades 
P0 5Hearts P1 5Spades P2 KHearts P3 3Spades 
P2 5Clubs P3 QClubs P0 7Diamonds P1 7Clubs 
P0 JHearts P1 6Diamonds P2 6Clubs P3 KClubs 
P1 JDiamonds P2 2Diamonds P3 QDiamonds P0 3Diamonds 
P1 ADiamonds P2 5Diamonds P3 JSpades P0 4Diamonds 
P1 KSpades P2 KDiamonds P3 6Spades P0 7Spades 
P2 JClubs P3 QSpades P0 4Spades P1 ASpades 
-- /GAME --

