-- GAME --
P0 HAND: ADiamonds, JDiamonds, 3Diamonds, 3Clubs, 7Hearts, 4Hearts, 2Hearts, QSpades, 4Spades, 3Spades.
P1 HAND: QDiamonds, 5Diamonds, 4Diamonds, 2Diamonds, JClubs, KHearts, QHearts, 3Hearts, ASpades, 2Spades.
P2 HAND: AClubs, 7Clubs, KClubs, 6Clubs, 4Clubs, 2Clubs, 7Spades, KSpades, JSpades, 6Spades.
P3 HAND: 7Diamonds, KDiamonds, 6Diamonds, QClubs, 5Clubs, AHearts, JHearts, 6Hearts, 5Hearts, 5Spades.
P3 AHearts P0 2Hearts P1 KHearts P2 2Clubs 
P2 6Spades P3 5Spades P0 3Spades P1 ASpades 
P1 2Diamonds P2 4Clubs P3 6Diamonds P0 JDiamonds 
P2 JSpades P3 5Hearts P0 QSpades P1 2Spades 
P2 6Clubs P3 5Clubs P0 3Clubs P1 JClubs 
P1 3Hearts P2 KClubs P3 6Hearts P0 7Hearts 
P2 7Clubs P3 QClubs P0 ADiamonds P1 4Diamonds 
P2 AClubs P3 JHearts P0 4Spades P1 5Diamonds 
P2 KSpades P3 KDiamonds P0 3Diamonds P1 QDiamonds 
P2 7Spades P3 7Diamonds P0 4Hearts P1 QHearts 
-- /GAME --

