-- GAME --
P0 HAND: 6Diamonds, 4Diamonds, 7Clubs, QClubs, 5Clubs, 3Clubs, KHearts, JHearts, 7Spades, 4Spades.
P1 HAND: 7Diamonds, JDiamonds, QDiamonds, 2Clubs, AHearts, 7Hearts, 3Hearts, 2Hearts, QSpades, 3Spades.
P2 HAND: 2Diamonds, AClubs, JClubs, 4Clubs, 6Hearts, 5Hearts, 4Hearts, KSpades, JSpades, 6Spades.
P3 HAND: ADiamonds, KDiamonds, 5Diamonds, 3Diamonds, KClubs, 6Clubs, QHearts, ASpades, 5Spades, 2Spades.
P0 4Diamonds P1 QDiamonds P2 2Diamonds P3 ADiamonds 
P3 3Diamonds P0 6Diamonds P1 7Diamonds P2 6Spades 
P2 AClubs P3 6Clubs P0 7Clubs P1 2Clubs 
P2 4Clubs P3 KClubs P0 QClubs P1 AHearts 
P3 5Diamonds P0 KHearts P1 JDiamonds P2 JSpades 
P2 4Hearts P3 QHearts P0 JHearts P1 7Hearts 
P1 2Hearts P2 5Hearts P3 2Spades P0 5Clubs 
P3 5Spades P0 4Spades P1 3Spades P2 KSpades 
P2 6Hearts P3 ASpades P0 3Clubs P1 3Hearts 
P3 KDiamonds P0 7Spades P1 QSpades P2 JClubs 
-- /GAME --

