-- GAME --
P0 HAND: 6Diamonds, 5Diamonds, 4Diamonds, AClubs, 7Clubs, 4Hearts, 3Hearts, ASpades, 7Spades, 5Spades.
P1 HAND: 7Diamonds, 3Diamonds, KClubs, JClubs, 2Clubs, 7Hearts, QHearts, 5Hearts, QSpades, 6Spades.
P2 HAND: KDiamonds, 2Diamonds, 6Clubs, 5Clubs, KHearts, JHearts, 6Hearts, KSpades, JSpades, 3Spades.
P3 HAND: ADiamonds, JDiamonds, QDiamonds, QClubs, 4Clubs, 3Clubs, AHearts, 2Hearts, 4Spades, 2Spades.
P1 2Clubs P2 5Clubs P3 3Clubs P0 AClubs 
P0 ASpades P1 6Spades P2 KSpades P3 2Spades 
P0 7Clubs P1 JClubs P2 6Clubs P3 4Clubs 
P0 7Spades P1 QSpades P2 JSpades P3 4Spades 
P0 5Spades P1 3Diamonds P2 3Spades P3 QDiamonds 
P0 6Diamonds P1 7Diamonds P2 2Diamonds P3 ADiamonds 
P3 QClubs P0 3Hearts P1 KClubs P2 KDiamonds 
P0 4Diamonds P1 5Hearts P2 6Hearts P3 JDiamonds 
P2 JHearts P3 2Hearts P0 4Hearts P1 QHearts 
P2 KHearts P3 AHearts P0 5Diamonds P1 7Hearts 
-- /GAME --

