-- GAME --
P0 HAND: ADiamonds, QDiamonds, 4Diamonds, 3Diamonds, JClubs, 3Clubs, AHearts, ASpades, KSpades, 2Spades.
P1 HAND: KDiamonds, 2Diamonds, AClubs, QClubs, 6Clubs, QHearts, 6Hearts, 5Hearts, 4Hearts, 7Spades.
P2 HAND: 7Diamonds, 5Diamonds, 7Clubs, KClubs, 7Hearts, 2Hearts, QSpades, 5Spades, 4Spades, 3Spades.
P3 HAND: JDiamonds, 6Diamonds, 5Clubs, 4Clubs, 2Clubs, KHearts, JHearts, 3Hearts, JSpades, 6Spades.
P3 2Clubs P0 3Clubs P1 AClubs P2 KClubs 
P1 2Diamonds P2 5Diamonds P3 6Diamonds P0 ADiamonds 
P0 ASpades P1 7Spades P2 QSpades P3 6Spades 
P0 KSpades P1 6Clubs P2 5Spades P3 JSpades 
P0 2Spades P1 QClubs P2 3Spades P3 4Clubs 
P2 4Spades P3 5Clubs P0 3Diamonds P1 4Hearts 
P1 5Hearts P2 2Hearts P3 3Hearts P0 AHearts 
P0 JClubs P1 6Hearts P2 7Clubs P3 JDiamonds 
P1 QHearts P2 7Hearts P3 JHearts P0 QDiamonds 
P2 7Diamonds P3 KHearts P0 4Diamonds P1 KDiamonds 
-- /GAME --

