-- GAME --
P0 HAND: 4Diamonds, 2Diamonds, JClubs, JHearts, 5Hearts, 3Hearts, 7Spades, KSpades, JSpades, 5Spades.
P1 HAND: ADiamonds, AClubs, QClubs, 6Clubs, AHearts, 7Hearts, QHearts, ASpades, 4Spades, 2Spades.
P2 HAND: 7Diamonds, KDiamonds, QDiamonds, 6Diamonds, 3Diamonds, 7Clubs, 2Clubs, KHearts, QSpades, 3Spades.
P3 HAND: JDiamonds, 5Diamonds, KClubs, 5Clubs, 4Clubs, 3Clubs, 6Hearts, 4Hearts, 2Hearts, 6Spades.
P2 2Clubs P3 3Clubs P0 JClubs P1 AClubs 
P1 ADiamonds P2 3Diamonds P3 JDiamonds P0 2Diamonds 
P1 ASpades P2 3Spades P3 6Spades P0 5Spades 
P1 2Spades P2 QSpades P3 4Clubs P0 7Spades 
P0 KSpades P1 4Spades P2 6Diamonds P3 5Diamonds 
P0 JSpades P1 6Clubs P2 QDiamonds P3 2Hearts 
P3 5Clubs P0 3Hearts P1 QClubs P2 7Clubs 
P0 4Diamonds P1 QHearts P2 KDiamonds P3 KClubs 
P1 7Hearts P2 KHearts P3 4Hearts P0 5Hearts 
P1 AHearts P2 7Diamonds P3 6Hearts P0 JHearts 
-- /GAME --

